GEF ID,Project title,Task Manager,Timeline,PIR Year,Core Indicators,Core Indicators Value,Sub-core indicator,Sub core-indicator value,Unit_of Measure,Notes
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),125907,,,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.1: Terrestrial protected areas newly created (Hectares),125000,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),907,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.2: Terrestrial protected areas under improved management effectiveness (METT Score),30,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),50000,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),50000,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Expected Results,,,,,,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.2: Terrestrial protected areas under improved management effectiveness (METT Score),0,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Baseline,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),0,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Baseline,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.3: Area of landscapes under sustainable land management in production systems (Hectares),0,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Baseline,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),0,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),277592,,,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),277592,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.2: Terrestrial protected areas under improved management effectiveness (METT Score),145,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),151430,,,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),94430,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.3: Area of landscapes under sustainable land management in production systems (Hectares),57000,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),2562640,,,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),2562640,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,2500,,,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Female,1000,,
9366,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d'Ivoire (SSATMARC -FOLAB)",Adamou Bouhari,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Male,1500,,
9382,Shepherding biodiversity back into South Africa's Productive Landscapes,Jane Nimpamya,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),50000,,,,
9402,The Path to 2020 - Antigua and Barbuda ,Christopher Cox,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
9402,The Path to 2020 - Antigua and Barbuda ,Christopher Cox,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,ha,
9402,The Path to 2020 - Antigua and Barbuda ,Christopher Cox,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),3035,,,,
9402,The Path to 2020 - Antigua and Barbuda ,Christopher Cox,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),3035,ha,
9402,The Path to 2020 - Antigua and Barbuda ,Christopher Cox,PIR Year,2020,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,ha,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Baseline,,Indicator 3: Area of land restored (Hectares),,Indicator 3.1: Area of degraded agricultural land restored (Hectares),0,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Baseline,,Indicator 3: Area of land restored (Hectares),,Indicator 3.2: Area of forest and forest land restored (Hecatres),0,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Baseline,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),0,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Baseline,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),0,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 3: Area of land restored (Hectares),60000,,,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 3: Area of land restored (Hectares),,Indicator 3.1: Area of degraded agricultural land restored (Hectares),19000,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 3: Area of land restored (Hectares),,Indicator 3.2: Area of forest and forest land restored (Hecatres),41000,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),40000,,,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),40000,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),5047576,,,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),5047576,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,125000,,,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Female,50000,,
9405,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),Adamou Bouhari,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Male,75000,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Baseline,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),0,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Baseline,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.3: Area of landscapes under sustainable land management in production systems (Hectares),0,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Baseline,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),0,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Expected Results,,Indicator 1: Terrestrial/marine protected areas created or under improved management for conservation and sustainable use (Hectares),4000,,,ha,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Expected Results,,Indicator 3:Area of land restored (Hectares),2500,,,ha,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),9000,,,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),4000,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.3: Area of landscapes under sustainable land management in production systems (Hectares),5000,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),1458871,,,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),1458871,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,PIR Year,2020,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),0,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,PIR Year,2020,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.3: Area of landscapes under sustainable land management in production systems (Hectares),0,,
9406,Integrated Ecosystem Management and Restoration of Forests on the South-East Coast of St. Lucia,Christopher Cox,PIR Year,2020,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),0,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Baseline,,Indicator 3: Area of land restored (Hectares),,Indicator 3.3: Area of natural grass and shrublands restored (Hectares),0,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),19031,,,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),19031,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Expected Results,,Indicator 3: Area of land restored (Hectares),525563,,,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Expected Results,,Indicator 3: Area of land restored (Hectares),,Indicator 3.3: Area of natural grass and shrublands restored (Hectares),525563,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,30000,,,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Female,13500,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Male,15500,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,PIR Year,2020,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,PIR Year,2020,Indicator 3: Area of land restored (Hectares),,Indicator 3.3: Area of natural grass and shrublands restored (Hectares),0,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,PIR Year,2020,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,30,,,,
9407,Healthy Ecosystems for Rangeland Development (HERD): Sustainable Rangeland Management for Biodiversity Conservation and Climate Change Mitigation,Ersin Esen,PIR Year,2020,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Female,30,,
9408,Preventing COSTS of Invasive Alien Species (IAS) in Barbados and the OECS Countries,Christopher Cox,Baseline,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),0,ha,
9408,Preventing COSTS of Invasive Alien Species (IAS) in Barbados and the OECS Countries,Christopher Cox,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),113200,,,ha,
9408,Preventing COSTS of Invasive Alien Species (IAS) in Barbados and the OECS Countries,Christopher Cox,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),113200,ha,
9408,Preventing COSTS of Invasive Alien Species (IAS) in Barbados and the OECS Countries,Christopher Cox,PIR Year,2021,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),66100,ha,"Antigua and Barbuda: est 30,000 ha based on the 4 offshore islands completed. 
Barbados: est 10,000 ha marine space for lionfish mgmt.
Saint Kitts and Nevis: est 26,100 ha (over original area) based on IAS mgmt. measures for monkeys"
9409,"Healthy Landscapes: Managing Agricultural Landscapes in Socio-ecologically Sensitive Areas to Promote Food Security, Well-being and Ecosystem Health",Max Zieren,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),20000,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),22419,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,PIR Year,2021,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),7550,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,PIR Year,2021,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),0,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,124000,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,PIR Year,2021,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,0,,,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Female,62000,,
9410,Strengthening National and Regional Capacities to Reduce the Impact of Invasive Alien Species on Globally Significant Biodiversity in the Pacific ,Manoela Miranda ,Expected Results,,Indicator 11: Number of direct beneficiaries disaggregated by gender as co-benefit of GEF investment,,Male,62000,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Baseline,,Indicator 3: Area of land restored (Hectares),,Indicator 3.1: Area of degraded agricultural land restored (Hectares),0,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Baseline,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),0,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),859700,,,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Expected Results,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),859700,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Expected Results,,Indicator 3: Area of land restored (Hectares),7275,,,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Expected Results,,Indicator 3: Area of land restored (Hectares),,Indicator 3.1: Area of degraded agricultural land restored (Hectares),7275,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Expected Results,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),859700,,,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),44635758,,,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,Expected Results,,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),44635758,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,PIR Year,2020,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,PIR Year,2020,Indicator 3: Area of land restored (Hectares),,Indicator 3.1: Area of degraded agricultural land restored (Hectares),0,,
9413,Realizing the Biodiversity Conservation Potential of Private Lands,Robert Erath ,PIR Year,2020,Indicator 6: Greenhouse gas emission mitigated (metric tons of CO?e),,Indicator 6.1: Carbon sequestered or emissions avoided in the AFOLU sector (metric tons of CO?e),0,,
9477,Promoting Sustainable Land Management (SLM) through Integrated Restoration of Ecosystems,Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
9477,Promoting Sustainable Land Management (SLM) through Integrated Restoration of Ecosystems,Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
