GEF ID,Lead GEF Agency,Country,Geographic Scope,Project title,Project Short Title,Task Manager,Project Type,Current Project  Status,Focal Area_A,Subprogramme,PIF/Council Approval Date,Date of full project submission to GEF Secretariat,PPG  CEO Approval,UNEP signature date      (PPG),Expected/ Actual Completion date PPG,PPG WBSE,Project Preparation Grant (PPG),  Project CEO Approval/Endorsement Date,UNEP signature date  (Project),Date of latest signature date on the umbrella legal instrument,Expected Technical Completion date (Project),Revised Technical Completion date (Project),Actual Technical Completion date (Project),Expected Completion date (Validity of the LA),Number of Amendments to LA,Actual Completion date (Validity of the LA),Project WBSE,S1 Grant Code,P1 Grant Code,Project  Grant ,  Co-financing Amount ,  PA focal point  , FMO , FA Focal Point , Project mid-term review/evaluation status , Project terminal evaluation status  , Date of project financial closure , Fund , Branch , Comments  ,Technical completion date, Corporate Services(AG_Fee) , Project Cycle Activities(AG_Fee) , Portfolio_Total(AG_Fee) 
2475,UNEP,Barbados,Latin America and the Caribbean,National Capacity Self - Assessment (NCSA) for Global Environmental Management,Barbados NCSA,Christopher Cox,EA,CEO Endorsed,Multi-focal Areas(CB),Ecosystem Management,19-Jul-05,,,,,,$0.00,19-Jul-05,14-Nov-05,,,,,,,,SB-000780.37,,,"$184,500", - ,Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,N/A,N/A,,GFL,,Not in my project list TBD,12/30/1899," 1,845 "," 16,605 "," 18,450 "
2495,UNEP/UNDP,Global,Global,Support Programme for National Capacity Self-Assessments (NCSAs),,BD/LD Unit,FSP,Completed,Multi-focal Areas(CB),,27-Sep-04,,,,,,$0.00,08-Feb-05,17-Jun-05,,,,,,,,SB-000815.76,,,"$426,500"," 975,000 ",Evelyn Machasio ,,,,,,GFL,,,12/30/1899," 4,265 "," 38,385 "," 42,650 "
2502,UNEP,Argentina,Latin America and the Caribbean,National Capacity Needs Self-Assessment for Global Environmental Management - Argentina,,BD/LD Unit,EA,Completed,Multi-focal Areas(CB),,07-May-04,,,,,,$0.00,07-May-04,02-Nov-05,,,,,,,,SB-000780.26,,,"$200,000", - ,Evelyn Machasio ,,,,,,GFL,,,12/30/1899," 2,000 "," 18,000 "," 20,000 "
2505,UNEP/UNDP,"Regional (Argentina, Bolivia, Paraguay)",Latin America and the Caribbean,Sustainable Forest Management in the Transboundary Gran Chaco American Ecosystem,Chaco SFM,Robert Erath,FSP,Completed,Multi-focal Areas(LD/BD/CC),Ecosystem Management,24-Apr-08,,19-May-05,02-Nov-05,30-Apr-09,,"$500,000.00",29-Sep-09,01-Sep-10,03-Aug-10,31-Dec-15,31-Dec-16,29-Jun-17,30-Jun-15,1,30-Jun-17,SB-000686.06,S1-32GFL-000330,P1-33GFL-000177,"$6,909,091"," 18,661,324 ",Gloritzel Frangakis ,Janet Bwiza,Lilian Musyoka,Completed,Completed,,GFL ,Biodiversity and Land Branch (BLB),,06/29/2017," 69,091 "," 621,818 "," 690,909 "
2582,UNEP,Global,Global,Development of National Biosafety Frameworks Project (10 additional countries) - Add On,Global/Dev,Alex Owusu-Biney,FSP,Completed,Biodiversity,Ecosystem Management,19-Nov-04,,,,,,$0.00,12-Sep-05,23-Dec-05,23-Dec-05,30-Nov-11,30-Nov-11,31-Dec-11,31-Dec-16,3,31-Dec-16,SB-000684.07,S1-32GFL-000290,P1-33GFL-000084,"$2,609,208"," 7,079,186 ",Evelyn Machasio,Lydia Eibl-Kamolleh,Justus Mutiga,Completed,Completed,,GFL,Division of GEF Coordination,"Closed (there were two add ons.. Making the total budget of Dev of $38,433,546 and cofinance of $12,341,463",12/31/2011," 26,092 "," 234,829 "," 260,921 "
2648,UNEP,Tunisia,Africa,Capacity Building for the Implementation of the National Biosafety Framework,Tunisia/IMP,Alex Owusu-Biney,MSP,Technically Completed,Biodiversity,Ecosystem Management,08-Feb-06,,,,,,$0.00,08-Feb-06,22-Jan-07,21-Dec-15,22-Jan-11,22-Jan-16,22-Jan-16,31-Dec-16,8,31-Dec-16,SB-000684.35,S1-32GFL-000290,P1-33GFL-000084,"$848,900"," 919,260 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),Awaiting Audit to close project [extensions due to the Arab spring period and institutional changes],01/22/2016," 8,489 "," 76,401 "," 84,890 "
2820,UNEP,"Regional (Cameroon, Kenya, Madagascar, Mozambique, Senegal,South Africa)",Africa,Supporting the Development and Implementation of Access and Benefit Sharing Policies in Africa,,Ersin Esen,FSP,Completed,Biodiversity,Ecosystem Management,24-Jun-09,,,,,,$0.00,13-May-10,08-Oct-10,,,,,30-Jun-12,,30-Jun-14,SB-000686.07.01,S1-32GFL-000438,P1-33GFL-000180,"$1,177,300","$1,002,050 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),To confirm financial closure,12/30/1899," 11,773 "," 105,957 "," 117,730 "
2824,UNEP,Egypt,Africa,Support the Implementation of the National Biosafety Framework,Egypt/IMP,Alex Owusu-Biney,MSP,Completed,Biodiversity,Ecosystem Management,08-Feb-06,,,,,,$0.00,08-Feb-06,30-Oct-06,31-Dec-16,29-Oct-10,29-Oct-16,29-Jun-17,29-Aug-14,7,30-Jun-18,SB-000684.36,,,"$908,100"," 1,389,000 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),Closed,06/29/2017," 9,081 "," 81,729 "," 90,810 "
2851,UNEP,Russian Federation,Europe,Development of National Biodiversity CHM - Add On,,BD/LD Unit,EA,Completed,Biodiversity,Ecosystem Management,03-Aug-05,,,,,,$0.00,03-Aug-05,29-Dec-06,,,,,,,,SB-000819.16,,,"$375,190", - ,,,,,,,,Biodiversity and Land Branch (BLB),,12/30/1899," 3,752 "," 33,767 "," 37,519 "
2899,UNDP/UNEP,Global,Global,Country Support Program for GEF Focal Points,,Adamou Bouhari,FSP,Completed,Multi-focal Areas(CB),Ecosystems Management,10-Nov-05,28-Sep-05,,,,,$0.00,27-Feb-06,12-Jun-06,12-Jun-06,,,31-Dec-10,31-Dec-10,,31-Dec-10,SB-000684.31,,,"$6,856,000"," 270,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,,,Biodiversity and Land Branch (BLB),,12/31/2010," 68,560 "," 617,040 "," 685,600 "
2967,UNEP,"Regional (Antigua And Barbuda, Barbados, Bahamas, Belize, Dominica, Grenada, Guyana, St. Kitts And Nevis, St. Lucia, Suriname, Trinidad and Tobago, St. Vincent and Grenadines)",Latin America and the Caribbean,Project for Implementing National Biosafety Frameworks in the Caribbean Sub-region,Caribbean FSP,Christopher Cox,FSP,Completed,Biodiversity,Ecosystem Management,24-Apr-08,,25-Sep-08,21-Apr-09,11-Aug-11,,"$110,502.00",06-Apr-11,22-Sep-11,14-Sep-11,31-Mar-17,30-Jun-18,30-Jun-20,30-Jun-19,4,31-Dec-20,SB-000687.22.01,S1-32GFL-000303,P1-33GFL-000227,"$5,972,493"," 6,897,582 ",Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),Awaiting signed final financial statement - final audit has been approved ,06/30/2020," 59,725 "," 537,524 "," 597,249 "
3004,UNEP,Ghana ,Africa,"Review of the National Biodiversity Strategy, Development of the Action Plan and Participation in the National Clearing House Mechanism",Ghana-CHM,Jane Nimpamya,EA,Under Implementation,Biodiversity,Ecosystem Management,01-Aug-08,,,,,,$0.00,01-Jul-08,01-Nov-08,12-Aug-08,31-Dec-21,31-Dec-23,,31-Mar-20,,31-Dec-21,"SB-000780.54.02, SB-000780.54.03","S1-32GFL-000203,M1-32FBL-000018",P1-33GFL-000112,"$430,000"," 80,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,,,,GFL,Biodiversity and Land Branch (BLB),,12/31/2023," 4,300 "," 38,700 "," 43,000 "
3008,UNEP,Morocco,Africa,"Development of the National Clearing House Mechanism, capacity assessment for ABS and Taxonomy in Morocco",Morocco -CHM,Jane Nimpamya,EA,Completed,Biodiversity,Ecosystem Management,21-Jun-10,,,,,,$0.00,22-Jun-10,15-Dec-10,15-Dec-10,,,,30-Apr-12,,,"SB-000780.67,SB-000780.67.01,SB-000780.67.02",S1-32GFL-000351,"P1-33GFL-000609,P1-33GFL-000182","$207,500"," 20,000 ",,George Saddimbah,Michael Atogoh,,,,GFL,Biodiversity and Land Branch (BLB),,12/30/1899," 2,075 "," 18,675 "," 20,750 "
3040,UNEP,Liberia,Africa,Support the Implementation of the National Biosafety Framework of Liberia,Liberia/IMP,Alex Owusu-Biney,MSP,Completed,Biodiversity,Ecosystem Management,11-May-09,,,,,,$0.00,02-Mar-11,26-Jul-11,19-Mar-16,31-May-16,30-Nov-16,30-Nov-16,25-Jun-15,2,25-Mar-17,SB-000687.06,S1-32GFL-000519,P1-33GFL-000243,"$577,679"," 530,000 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),Undergoing closure,11/30/2016," 5,777 "," 51,991 "," 57,768 "
3045,UNEP,Ghana,Africa,Implementation of the National Biosafety Framework for Ghana,Ghana/IMP,Alex Owusu-Biney,MSP,Completed,Biodiversity,Ecosystem Management,19-Mar-09,,,,,,$0.00,27-Feb-12,02-May-12,26-Oct-16,01-May-15,31-Dec-16,31-Dec-16,30-Jun-17,1,30-Jun-17,SB-000687.38,S1-32GFL-000371,P1-33GFL-000254,"$636,364"," 800,000 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),Undergoing closure,12/31/2016," 6,364 "," 57,273 "," 63,636 "
3077,UNEP,"Global (Brazil, Cote d'Ivoire, Colombia, Dominican Republic, Ecuador, Ghana, Indonesia, Peru, Venezuela)","Global (Africa, Asia, LAC)",Greening the Cocoa Industry (UNDER EARTH FUND),Greening the Cocoa,Ersin Esen,FSP,Completed,Biodiversity,Ecosystem Management,01-Apr-09,,,,,,$0.00,19-Nov-10,23-Jan-11,20-Jan-20,31-Dec-17,31-Dec-18,31-Dec-18,30-Jun-19,2,30-Jun-19,SB-000686.30,S1-32GFL-000512,P1-33GFL-000220,"$5,000,000"," 15,000,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),Financial closure is underway,12/31/2018," 50,000 "," 450,000 "," 500,000 "
3135,UNEP,Gambia,Africa,Adoption of Ecosystem Approach for Integrated Implementation of MEAs at National and Divisional Level,,Adamou Bouhari,MSP,Completed,Multi-focal Areas(CB),Ecosystems Management,13-Feb-08,,,,,,$0.00,13-Feb-08,30-Dec-08,30-Dec-08,,,,31-Dec-13,,,SB-000685.05,,,"$493,000"," 168,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,,,Biodiversity and Land Branch (BLB),"Alex Owusu-Biney (Task Manager) was involved with the implementation process of the project in collaboration with the former task manager for the project. He will be available to support  the current task manager, as necessary i.e. provide information regarding the terminal evaluation of the project ",12/30/1899," 4,930 "," 44,370 "," 49,300 "
3164,UNEP,Kenya,Africa,Enhanced Regulatory and Information Systems for Integrated Implementation,,Adamou Bouhari,MSP,Completed,Multi-focal Areas(CB),Ecosystems Management,20-Mar-08,18-Apr-06,,,,,$0.00,04-Apr-08,19-Nov-08,19-Nov-08,,,01-Dec-14,31-Mar-14,,01-Dec-14,SB-000685.04,,,"$487,500"," 277,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,,,Biodiversity and Land Branch (BLB),,12/01/2014," 4,875 "," 43,875 "," 48,750 "
3174,UNEP,Afghanistan,Asia Pacific,"Development of National Biodiversity Strategy & Action Plan (NBSAP), Assessment of Capacity Building Needs for In-situ and Ex-situ Biodiversity Conservation",Afghanistan -NBSAP /CHM,Jane Nimpamya,EA,CEO Endorsed,Biodiversity,Ecosystem Management,22-Jun-10,,,,,,$0.00,22-Jun-10,,,,,,31-Dec-14,,,"SB-000686.39,SB-000686.39.01,SB-000686.39.02,SB-000686.39.03",S1-32GFL-000547,,"$394,000"," 70,000 ",Evelyn Machasio ,George Saddimbah,Michael Atogoh,,,,GFL,Biodiversity and Land Branch (BLB),Was executed by PCDM but they refused to submit any reports so project could not be closed,12/30/1899," 3,940 "," 35,460 "," 39,400 "
3179,UNEP,Turkey,Europe,National Capacity Self Assessment for Global Environmental Management (NCSA),,BD/LD Unit,EA,Completed,Multi-focal Areas(CB),,30-Jan-08,,,,,,$0.00,30-Jan-08,30-Oct-08,,,,,01-Jan-11,,,SB-000808.12,,,"$199,500"," 55,200 ",Evelyn Machasio ,,,,,,,Biodiversity and Land Branch (BLB),"Alex Owusu-Biney (Task Manager) was involved with the implementation process of the project in collaboration with the former task manager for the project. He will be available to support  the current task manager, as necessary i.e. provide information regarding the terminal evaulation of the project",12/30/1899," 1,995 "," 17,955 "," 19,950 "
3211,UNEP,Tajikistan,Asia Pacific,Support the Implementation of the National Biosafety Framework of Republic of Tajikistan,Tajikistan/IMP,Alex Owusu-Biney,MSP,Under Implementation,Biodiversity,Ecosystem Management,19-Mar-09,,,,,,$0.00,25-Jan-11,11-Oct-11,20-Jan-20,10-Oct-14,30-Jun-22,,30-Jun-22,4,30-Jun-22,SB-000687.26,S1-32GFL-000329,P1-33GFL-000216,"$840,000"," 540,000 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,N/A,,GFL,Biodiversity and Land Branch (BLB),Project has signed a new bridging PCA after the first PCA expired due to institutional changes at EA& delays caused by closure of Bank,06/30/2022," 8,400 "," 75,600 "," 84,000 "
3317,UNEP,Malawi,Africa,Development of a National Clearing House Mechanism and Assessment of Capacity Building Needs-Add on,,BD/LD Unit,EA,Completed,Biodiversity,Ecosystem Management,11-Jan-08,,,,,,$0.00,11-Jan-08,03-Jun-08,,,,,,,,SB-000780.50,,,"$130,000"," 10,000 ",,,,,,,,Biodiversity and Land Branch (BLB),,12/30/1899," 1,300 "," 11,700 "," 13,000 "
3332,UNEP,El Salvador,Latin America and the Caribbean,Contributing to the Safe use of Biotechnology ,El Salvador/IMP,Thais Narciso,MSP,Completed,Biodiversity,Ecosystem Management,17-Jul-08,,17-Jul-08,28-Jan-09,27-Aug-12,,"$9,091.00",03-Jun-10,30-Nov-10,29-Nov-10,29-Nov-14,31-Aug-17,29-Apr-18,30-Apr-15,3,30-Apr-18,SB-000780.66,S1-32GFL-000482,P1-33GFL-000176,"$900,000"," 1,025,000 ",Gloritzel Frangakis ,Michael Atogoh,Lilian Musyoka,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),"Alex Owusu-Biney (Task Manager) was involved with the implementation process of the project in collaboration with the former task manager for the project. He will be available to support  the current task manager, as necessary i.e. provide information reg",04/29/2018," 9,000 "," 81,000 "," 90,000 "
3333,UNEP,Indonesia,Asia Pacific,Implementation of the National Biosafety Framework,Indonesia/IMP,Alex Owusu-Biney,MSP,Completed,Biodiversity,Ecosystem Management,08-Sep-08,,,,,,$0.00,14-Dec-10,26-Nov-11,29-Dec-15,30-Sep-15,31-Mar-16,,31-Mar-16,,,SB-000687.29,S1-32GFL-000350,P1-33GFL-000222,"$830,196"," 709,200 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,Yet to be initiated,,GFL,Biodiversity and Land Branch (BLB),Project requesting termination and return of funds. Was not technically completed. Decision needed. Ip requested to return funds,03/31/2016," 8,302 "," 74,718 "," 83,020 "
3335,UNEP,Madagascar,Africa,Implementation of the National Biosafety Framework ,Madagascar/IMP,Alex Owusu-Biney,MSP,Completed,Biodiversity,Ecosystem Management,17-Dec-08,,,,,,$0.00,29-Apr-10,12-Jan-11,31-Mar-15,30-Sep-16,31-Mar-17,31-Mar-17,31-Mar-15,1,31-Mar-17,SB-000686.15,S1-32GFL-000457,P1-33GFL-000192,"$613,850"," 290,000 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,Yet to be initiated,,GFL,Biodiversity and Land Branch (BLB),"All required terminal documents received, TM refuses to accept an equipment which is over priced.  Audit raises same, vendor did not supply the requested equipment but a lower version and charged a high price.  On the market value, the project is loosing about $70,000, a physical inspection has been made, EA is yet to take action. Project Manager is dead and TM could not get any additional feedback.  A decision has to be taken",03/31/2017," 6,139 "," 55,247 "," 61,385 "
3395,UNEP,Regional (Africa),Africa,SIP: Institutional Support to New Partnership for Africa's Development (NEPAD) and Regional Economic Communities (RECs) for Sustainable Land Management (SLM) Scale-up in Sub-Saharan Africa (SSA),NEPAD,Adamou Bouhari,FSP,Technically Completed,Land Degradation,Ecosystems Management,14-Jun-07,06-Nov-07,27-Feb-07,15-Apr-08,13-Jul-13,SB-000684.45,"$100,000.00",26-May-10,01-Sep-10,14-Jul-15,30-Dec-14,31-Dec-18,31-Dec-18,30-Jun-19,2,30-Jun-19,SB-000686.09,S1-32GFL-000344,P1-33GFL-000165,"$3,735,809"," 6,014,550 ",Eric Mugo,George Saddimbah,Linda Choge,,,31-Dec-17,GFL,Biodiversity and Land Branch (BLB),Project awaiting full audit hence the expiry of the legal agreement,12/31/2018," 37,358 "," 336,223 "," 373,581 "
3401,UNEP,"Regional (Burundi, Cote d'Ivoire, Ghana, Kenya, Malawi, Mozambique, Nigeria, Rwanda, Tanzania, Uganda)",Africa,SIP: Equatorial Africa Deposition Network (EADN),EADN,Adamou Bouhari,FSP,Completed,Multi-focal Areas(LD/BD),Ecosystems Management,14-Jun-07,06-Nov-07,17-Nov-08,27-Feb-09,24-Jan-14,,"$50,000.00",04-Aug-11,27-Oct-11,27-Oct-11,01-Feb-16,01-Feb-16,01-Feb-16,31-Aug-15,,01-Feb-16,"SB-000687.25,SB-000687.25.01",S1-32GFL-000325,P1-33GFL-000235,"$1,865,000"," 3,243,746 ",Eric Mugo,George Saddimbah,Michael Atogoh,,,,GFL,Biodiversity and Land Branch (BLB),,02/01/2016," 18,650 "," 167,850 "," 186,500 "
