mineral_name,star_avg,star_max,star_min,eco_risk_avg,eco_risk_max,eco_risk_min,transition_alignment,justification,reference_1_text,reference_1_link,reference_2_text,reference_2_link,reference_3_text,reference_3_link
Graphite,47.8689019,2034.762008,0,38741.30806,82090.97814,18116.218,true,"Graphite is used for energy storage installations. Graphite accounts for a high share of the mineral composition of Lithium-ion batteries. Graphite has an end-of-life recycling rate of >50%. Most of the world's Graphite is produced in China (60%), followed by Mozambique (11%), Brazil (9%) and Madagascar (5%). There is higher uncertainty in how demand for Graphite from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand. By 2050, the annual demand for Graphite from energy technologies is expected to be equivalent to 494% of total Graphite production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,U.S. Geological Survey (2021),https://pubs.usgs.gov/periodicals/mcs2021/mcs2021.pdf,,
Heavy Mineral Sands,22.50220844,205.0524114,0.109245727,34933.55342,53633.64539,11020.17104,false,There is no evidence that Heavy Mineral Sands supports the energy transition.,,,,,,
Ilmenite,33.16173068,950.3928277,0.001080711,38428.05729,73800.71746,13509.45204,false,There is no evidence that Ilmenite supports the energy transition.,,,,,,
Iron Ore,10.89234506,1473.271375,0,42204.64419,86830.63498,4648.236725,true,"Iron ore is one of the major minerals to supply the renewable energy transition. While being a major component of wind and energy storage installations, it is used more widely as an element of steel for components that underpin technologies used by energy producers, distributors and consumers. Iron has an end-of-life recycling rate of >50%. Iron is less dependent on shifts in energy technology and is expected to see steady levels of demand through to 2050. The annual demand for Iron from energy technologies in 2050 is expected to be relatively low (equivalent to <2% of total Iron production in 2018; under a 2-degree climate scenario). Note: this only includes iron required for energy installations, not for the supporting steel infrastructure.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Lanthanides,8.514590182,704.0668659,0,36840.96368,73900.28637,14991.63735,true,"Lanthanides are a series of chemical elements, commonly known as rare earth elements. Rare earth elements are often critical components of renewable energy hardware. Rare earth elements typically have an end-of-life recycling rate of <1%.  There is higher uncertainty in how demand for rare earth elements from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact their demand.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,U.S. Geological Survey (2021),https://pubs.usgs.gov/periodicals/mcs2021/mcs2021.pdf,International Association for Energy Economics (2018),https://www.iaee.org/en/publications/newsletterdl.aspx?id=455
Lead,7.235741123,343.8968471,0.009844658,42203.75354,79187.97247,18680.54756,true,"Lead is used for wind, solar, hydro, energy storage and nuclear installations. While being a major component of energy storage installations, the ratio of lead used in most other technologies is relatively low compared to other minerals. Lead has an end-of-life recycling rate of >50%. Lead is expected to see relatively steady levels of demand through to 2050. By 2050, the annual demand for Lead from energy technologies is expected to be equivalent to 18% of total Lead production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Lithium,1.984356426,72.89709233,0.001022143,36330.77265,86906.21163,16951.88351,true,"Lithium is one of the major minerals to supply the renewable energy transition and is used for energy storage installations. Lithium accounts for a high share of the mineral composition of lithium-ion batteries. It is a key mineral for automotive, grid scale and decentralised energy storage. Lithium has an end-of-life recycling rate of <1%. Most of the world's Lithium is produced in Australia (48%), followed by Chile (22%), China (17%) and Argentina (8%). Due to continuing exploration efforts, Lithium production is expected to increase substantially worldwide and particularly in Zimbabwe, Canada and Bolivia, alongside the more established producers listed previously. There is higher uncertainty in how demand for Lithium from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand. Additionally, the reserve and resource estimates for Lithium vary greatly and there is high uncertainty on whether annual production rates of Lithium will be able to meet growing demand. However, by 2050, the annual demand for Lithium from energy technologies is expected to be equivalent to 488% of total Lithium production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,U.S. Geological Survey (2021),https://pubs.usgs.gov/periodicals/mcs2021/mcs2021.pdf,Vikström et al. (2013),https://www.sciencedirect.com/science/article/abs/pii/S0306261913002997
Manganese,11.54077861,175.3407265,0.006120169,40678.62209,79902.79523,3247.573153,true,"Manganese is one of the major cross-cutting minerals to supply the renewable energy transition and is used for wind, hydro, geothermal, energy storage, and carbon capture and storage installations. While being a major component of energy storage installations, the ratio of manganese used in most other technologies is relatively low compared to other minerals. Manganese has an end-of-life recycling rate of >50%. Manganese is expected to see relatively steady levels of demand through to 2050. By 2050, the annual demand for Manganese from energy technologies is expected to be equivalent to 4% of total Manganese production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Molybdenum,8.612374086,404.2962538,0.000915917,38533.6917,79048.57541,21405.46378,true,"Molybdenum is one of the major cross-cutting minerals to supply the renewable energy transition and is used for wind, solar, hydro, geothermal, nuclear, and carbon capture and storage installations. While being a major component of wind and geothermal energy installations, the ratio of Molybdenum used in most other technologies is relatively low compared to other minerals. Molybdenum has an end-of-life recycling rate of 25-50%. Molybdenum is expected to see relatively steady levels of demand through to 2050. By 2050, the annual demand for Molybdenum from energy technologies is expected to be equivalent to 11% of total Molybdenum production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Nickel,24.3363935,1304.420626,0,36167.42522,158220.8911,2755.825242,true,"Nickel is one of the major cross-cutting minerals to supply the renewable energy transition and is used for wind, solar, hydro, geothermal, nuclear, carbon capture and storage, and energy storage installations. It is a major component of geothermal energy installations and lithium-ion batteries, but the ratio of nickel used in most other technologies is relatively low compared to other minerals. Nickel has an end-of-life recycling rate of >50%. Nickel is expected to see relatively steady levels of demand through to 2050. By 2050, the annual demand for Nickel from energy technologies is expected to be equivalent to 99% of total Nickel production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Niobium,7.271368846,203.5640651,0.018696066,34476.88669,52991.16671,20573.72634,false,There is no evidence that Niobium supports the energy transition.,,,,,,
Palladium,0.388897146,1.855955115,0.0327155,31129.24673,40607.6888,19822.40804,false,There is no evidence that Palladium supports the energy transition.,,,,,,
Phosphate,5.84730725,237.7812474,0,40574.97113,79647.40424,14511.26395,not assessed,There is no evidence that Phosphate supports the energy transition.,,,,,,
Platinum,4.983002512,111.8150157,0.005188584,37956.62435,72771.57708,16075.60511,true,"Platinum can be used for emerging energy storage technologies such as proton exchange membrane fuel cells. Beyond that, Platinum is an important component in the electrolysis production of hydron. There is higher uncertainty in how demand for Platinum from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand. The largest use of Platinum today comes from catalysing emissions in vehicle exhaust systems. Reducing the number of vehicles throughout the energy transition thus reduces the demand for primary Platinum. Furthermore, Platinum has a very high end-of-life recycling rate of up to 95%. The overall demand is therefore expected to be low in future.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,Månberger & Stenqvist (2018),https://www.sciencedirect.com/science/article/pii/S0301421518302726,,
Potash,2.675542063,47.69191198,0.000969397,37820.64486,68482.81557,19682.82615,false,There is no evidence that Potash supports the energy transition.,,,,,,
Rutile,3.361595187,22.93133521,0,44117.53482,65036.72501,22672.00565,false,There is no evidence that Rutile supports the energy transition.,,,,,,
Scandium,0.24081824,0.407793856,0.054586347,38173.46639,46460.47728,31735.23855,false,There is no evidence that Scandium supports the energy transition.,,,,,,
Silver,12.91123999,1089.205503,0.004931239,39962.7357,96123.46182,18853.78143,true,"Silver is used for solar and nuclear installations. Overall, silver accounts for a small share of the mineral composition of renewable energy technologies. Silver has an end-of-life recycling rate of >50%. There is higher uncertainty in how demand for Silver from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand. By 2050, the annual demand for Silver from energy technologies is expected to be equivalent to 56% of of total Silver production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Tantalum,5.427339142,213.5926417,0.006455941,37889.08673,68284.6832,15078.42772,true,"Tantalum is used for energy generation installations. However, it is used more widely as an alloy in temperature-resistant steel for components that underpin energy producers, distributors and consumers. Tantalum, which is mainly sourced from coltan, is primarily produced in only two countries (The Democratic Republic of Congo and Rwanda). Tantalum has an end-of-life recycling rate of <1%.Tantalum is less dependent on shifts in energy technology and is expected to see stable and steady levels of demand through 2050.",Deetman et al. (2018),https://onlinelibrary.wiley.com/doi/full/10.1111/jiec.12533,,,,
Tin,20.66683226,627.793861,0,41678.35631,74619.09747,13479.44577,true,"Tin can be used in emerging energy storage technologies such as solid-state batteries. However, most of the world's Tin is used for soldering in electronic goods. Tin has an end-of-life recycling rate of >50%. Tin is expected to see relatively steady levels of demand in the near future.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,Reuters (2020),https://www.reuters.com/article/us-metals-tin-ahome-idUKKBN28K1TN,,
Titanium,0.475897195,2.874484259,0.019975246,34618.72532,54638.14556,15955.56855,true,"Titanium is used for hydro, geothermal, and nuclear installations. Titanium has an end-of-life recycling rate of >50%. There is higher uncertainty in how demand for Titanium from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand. By 2050, the annual demand for Titanium from energy technologies is expected to be relatively low (equivalent to <2% of total Titanium production in 2018; under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Tungsten,12.55249654,456.2333331,0.023589959,42433.04752,77919.28097,18156.42624,false,There is no evidence that Tungsten supports the energy transition.,,,,,,
U3O8,4.200824887,1014.13583,0.001108937,35157.95679,75767.66633,6960.219596,false,There is no evidence that U3O8 supports the energy transition.,,,,,,
Vanadium,4.254918621,173.8667269,0.027003044,37670.97202,92316.36827,18100.63367,true,"Vanadium is used for energy storage and nuclear installations. Vanadium is a key mineral for Vanadium-based stationary energy storage. Vanadium has an end-of-life recycling rate of <1%. Vanadium is primarily produced in only four countries, China (60%), Russia (21%), South Africa (10%) and Brazil (8%). There is higher uncertainty in how demand for Vanadium from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand. By 2050, the annual demand for Vanadium from energy technologies is expected to be equivalent to 189% of total Vanadium production in 2018 (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Yttrium,0.224513414,0.387666507,0.061360321,30713.07058,40600.3634,20825.77776,true,"Yttrium is a rare earth element. Rare earth elements are often critical components of renewable energy hardware. Yttrium can be used in emerging fuel cell technologies such as solid oxide fuel cells. Beyond that, Yttrium is often used as an additive in alloys. Yttrium has an end-of-life recycling rate of <1%. Yttrium contained in rare-earth mineral concentrates is primarily produced in China and Myanmar with additional reserves in Australia, Brazil, Canada and India. Global reserves are considered adequate to satisfy near-term demand at current rates of production. However, there is higher uncertainty in how demand for Yttrium from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,U.S. Geological Survey (2021),https://pubs.usgs.gov/periodicals/mcs2021/mcs2021.pdf,Chakarvarty (2018),https://www.iaee.org/en/publications/newsletterdl.aspx?id=455
Zinc,15.18753933,1278.794274,0,40619.79636,78953.48676,15709.45445,true,"Zinc is used for wind, solar, hydro, energy storage and nuclear installations. While being a major component of wind installations, the ratio of Zinc used in most other technologies is relatively low compared to other minerals. Zinc has an end-of-life recycling rate of >50%. Zinc is expected to see a potentially high relative change in demand, however, due to the concentrated applicability in energy technologies, it has higher demand uncertainties as technological disruption and deployment could significantly impact its demand.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Zircon,4.705076919,20.27536435,0.10138525,43854.96482,62068.37887,24716.82436,true,"Zircon is a source of the metal Zirconium. It is used for emerging fuel cell technologies such as solid oxide fuel cells. Zirconium is a by-product of mining and two-thirds of its production occurs in Australia and South Africa, with additional resources in China and Mozambique. Zirconium has an end-of-life recycling rate of <1%.  Zirconium is expected to see steady levels of demand in the near future.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,Research and Markets (2019),https://www.researchandmarkets.com/reports/4793134/global-zirconium-market-by-occurrence-type-by?utm_source=dynamic&utm_medium=BW&utm_code=gmndbs&utm_campaign=1318520+-+Global+Zirconium+Market+Size+%26+Forecast%2c+2018-2019+%26+2025&utm_exec=joca220bwd,U.S. Geological Survey (2021),https://pubs.usgs.gov/periodicals/mcs2021/mcs2021.pdf
