ProductionProcess,ImpactDriver,RAG,Justification
Biomass energy production,Water use,H,Large volumes of water are required for the thermal conversion technologies used to create energy from biomass.
Cable and satellite installations on land,Disturbances,H,"Noise pollution from electrical components can also negatively impact species in localised areas around cables, transmitters and power points."
Cable and satellite installations on land,Freshwater ecosystem use,L,Laying of cable can temporarily disrupt and modify habitat. This impact can be permanent in habitats with slow growing species.
Cable and satellite installations on land,Terrestrial ecosystem use,L,"Laying of cable can temporarily disrupt and modify habitat e.g. fibre optic cables require digging trenches and clearing vegetation to allow access for heavy machinery. Species that may be particularly impacted include beetles, amphibians, reptiles and bats, as well as plants such as ferns and seed plants. Long-standing effects can occur in habitats with slow growing species, and the use of heavy machinery can cause soil compaction with negative impacts on soil biodiversity. "
"Catalytic cracking, fractional distillation and crystallization",GHG emissions,H,"Greenhouse gases are emitted through energy use to achieve high temperatures required for this production process, as well as from large amounts carbon formed on catalysts, which is converted to carbon dioxide. When energy is produced on-site this directly contributes to global emissions. When energy is sourced from utilities, this constitutes an impact under the relevant energy production processes. Sulphur dioxide and nitrogen dioxide are emitted during the cracking process."
"Catalytic cracking, fractional distillation and crystallization",Non-GHG air pollutants,H,"Large amounts of coke contaminated by high levels of sulphur form in the catalytic cracking process and are combusted in regenerators, resulting in emission of sulphur dioxide into the atmosphere. This can increase levels of acid rain, impacting on atmosphere, water and soil. Fire and explosion hazards are generated by hydrocracking processes, including accidental release of syngas (containing carbon monoxide and hydrogen), methanol and gas from oil product processing facilities."
"Catalytic cracking, fractional distillation and crystallization",Soil pollutants,H,"Large amounts of coke contaminated by high levels of sulphur form in the catalytic cracking process and are combusted in regenerators, resulting in the emission of sulphur dioxide into the atmosphere. This can in turn increase levels of acid rain. The process therefore impacts atmosphere, water and soil. Accidental spillage of oil based products results in soil contamination."
"Catalytic cracking, fractional distillation and crystallization",Solid waste,H,"Waste is produced by offices and service centres, and non-recycling of materials."
"Catalytic cracking, fractional distillation and crystallization",Terrestrial ecosystem use,H,The use of petroleum products in high temperatures and pressures increase likelihood of explosion and fire.
"Catalytic cracking, fractional distillation and crystallization",Water pollutants,H,Main sources of water pollutants include: 1) large amounts of coke contaminated by sulphur formed in the catalytic cracking process (emitting sulphur dioxide); 2) by-products from fractional crystallization that have high concentrations of impurities; and 3) accidental spills of oil based products or toxic chemicals used at various stages of hydrocracking and waste management.
"Catalytic cracking, fractional distillation and crystallization",Water use,H,"Water is abstracted for use in steam cracking. Large volumes of water are required for cooling, processing water, and surface washing processes during hydrocracking."
Construction,Disturbances,H,"Construction of transportation corridors may also lead to noise and smell pollution from excavations, machinery, traffic and transportation, loading and haulage. Road construction can lead to disturbance of fauna due to construction activities and habitat fragmentation."
Construction,Freshwater ecosystem use,H,"Road and tunnel construction, including use of heavy equipment, can lead to: 1) sedimentation near crossings of cultivated flood plains; 2) removal of vegetation and/or modification of surface and subterranean water flows, resulting in drying or flooding; 3) irreversible salinisation and acidification of certain soils (e.g. mangrove swamps); and 4) river diversion and canalisation to accommodate new infrastructure, degrading freshwater ecosystems."
Construction,GHG emissions,H,"Emission of carbon dioxide and other indirect greenhouse gases can occur from the use of heavy machinery, vehicular traffic and use of explosives."
Construction,Non-GHG air pollutants,H,"Construction projects can cause pollution through emission of fossil fuels and spills of diesel, paints, solvents, and toxic chemicals. Air pollution can occur from vehicular traffic and use of explosives. In parts of the world with less stringent requirements for the disposal of toxic construction waste products, significant local environmental damage may result from a construction project."
Construction,Soil pollutants,M,"Construction of transportation corridors may lead to pollution of soil resulting from waste disposal (e.g. wastewater from rain, drainage, groundwater, drilling) and excavated material (debris/muck/dredged material). Changes to soil chemistry can occur from mixing of soils due to excavation and storage during construction processes."
Construction,Solid waste,H,"Construction production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as cement, glass, metal, plastic, paper and cardboard, wood, and rubber a"
Construction,Terrestrial ecosystem use,VH,"Construction can result in habitat clearance, degradation and fragmentation, including along transportation corridors. Use of vehicles and heavy machinery in construction, including roads and railways, can lead to: 1) compaction of alluvial soils; 2) loss of topsoil, erosion and modification of surface relief in borrow zones; 3) excessive slope loading, causing downslope failure ; 4) altered slope drainage regimes."
Construction,Water pollutants,M,"Construction projects can cause pollution through spills of diesel, paints, solvents, and toxic chemicals. Construction may lead to pollution of water sources resulting from waste disposal (e.g. wastewater from drainage or drilling) and excavated material (debris/muck/dredged material). In areas with less stringent requirements for the disposal of toxic construction waste products, significant local environmental damage may result from a construction project."
Construction,Water use,H,"Water is abstracted for construction and operations. Additionally, road drainage and excavation can lower the water table in surrounding areas, while embankments and structures can raise the water table by restricting flow. Roads that intersect drainage basins generally modify the natural flow of surface water by concentrating flows at certain points. Tunnelling operations can change the direction of groundwater flow. Water is used for damping down dust created by infrastructure projects."
Construction materials production,Disturbances,H,Adjacent areas are affected by noise emitted during construction materials production.
Construction materials production,Freshwater ecosystem use,H,Pits and quarries disrupt the existing movement of surface water and groundwater; they interrupt natural water recharge and can lead to reduced quantity and quality water.
Construction materials production,GHG emissions,H,"Production of construction materials leads to substantial greenhouse gas emissions. Gaseous emissions from cement manufacture consist of CO2, N2, O2, SO2, water vapour and micro components i.e. CO and NOx formation. The most significant pollutant is carbon dioxide (CO2), 40% of emissions come from fuel use to achieve high temperatures (2,700F) in processing and 60% is released from the thermal reaction of calcium carbonate to produce lime and carbon dioxide."
Construction materials production,Marine ecosystem use,H,Sedimentation resulting from marine dredging can result in the alteration of species compositions and populations in benthic communities. Disruption from operations can result in the loss of populations of wild species in a localised area.
Construction materials production,Non-GHG air pollutants,M,Non-greenhouse gas emissions from the production of cement consist of water vapour and micro components i.e. CO and NOx formation. Firing of clay during the production of bricks emits carbon monoxide and sulphur oxides contributing to atmospheric pollution.
Construction materials production,Solid waste,H,"Manufacturing production processes (including cement production) lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Construction materials production,Terrestrial ecosystem use,VH,Vegetation removal and soil excavation modifies habitat. Disruption from operations can result in the loss of populations of wild species in a localised area. Aggregate extraction also causes soil erosion and land degradation. Small firing kilns in remote and dry wild areas may result in the accidental and uncontrolled spread of fire.
Construction materials production,Water pollutants,M,Cement production generates water pollution.
Construction materials production,Water use,H,"Producing construction materials uses large amounts of water. Water consumption during manufacture of cement is estimated at 100-600 Litres per tonne of clinker produced, where it is used for inclusion in fuel moisture, raw material moisture and injection into mills for cooling purposes. Brick production also uses large amounts of water to create consistent and mouldable clay for firing."
Cruise line provision,GHG emissions,H,"Greenhouse gas emissions from cruise ships can be substantial. However, these vary according to multiple factors, including ship size and cruise duration. "
Cruise line provision,Marine ecosystem use,M,Movement of cruise ships is disruptive to marine ecosystems and can impact on natural habitats and species.
Cruise line provision,Non-GHG air pollutants,L,"Air pollution occurs from fuels and chemicals emitted by ships. Main air pollutants include sulphur dioxide (SO2), nitrogen oxides (NOx), and particulate matter."
Cruise line provision,Solid waste,M,"Large volumes of solid waste are produced by cruise ships, as well as offices and service centres, due to non-recycling of materials."
Cruise line provision,Water pollutants,H,"Cruise ships produce large volumes of hazardous and non-hazardous substances that can pollute water if they are not disposed of safely. These substances can range from waste waters (black, gray and bilge waste waters) to waste products from onboard facilities (e.g. medical services, chemicals, laundry, etc.)."
Cruise line provision,Water use,M,Cruise ships require large volumes of water for ballasts. In some instances cruise ships may also use water from surrounding marine ecosystems for onboard facilities (e.g. water purification for drinking purposes).
Cryogenic air separation,Disturbances,H,Noise pollution and vibrations occur due to the operation of machinery.
Cryogenic air separation,Non-GHG air pollutants,L,Volatile organic compounds (VOCs) can be emitted from coolant escape. Harmful metals are used as catalysts and can be emitted if not properly disposed of.
Cryogenic air separation,Soil pollutants,M,Harmful metals are used as catalysts and can be emitted if not properly disposed of.
Cryogenic air separation,Water pollutants,M,Harmful metals are used as catalysts and can be emitted if not properly disposed of. Oil based fluids used in pressure machinery can escape into water courses.
Cryogenic air separation,Water use,H,Water is used to cool machinery at certain points in the production process.
Distribution,Disturbances,H,"Noise pollution occurs from vehicles (terrestrial, marine and airborne), which are significant sources of road, marine and aerial noise, respectively."
Distribution,GHG emissions,H,"Air pollution occurs from fuels and chemicals used during distribution. Air pollutants include emissions of carbon dioxide (CO2) and other indirect greenhouse gases. Additionally, harmful and polluting substances may be leached into the environment in case of accidents."
Distribution,Marine ecosystem use,M,Physical changes in wave movement due to the distribution via ships can lead to increased erosion along coastlines and shorelines. This impact does not apply to other forms of distribution that do not take place in marine ecosystems.
Distribution,Non-GHG air pollutants,H,"Air pollution occurs from fuels and chemicals used during distribution. Air pollutants include emissions of carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs). Additionally, harmful and polluting substances may be leached into the environment in case of accidents."
Distribution,Soil pollutants,L,Harmful and polluting substances may be leached into the environment in case of accidents.
Distribution,Water pollutants,L,"Water pollution occurs from fuels and chemicals used during distribution. Additionally, harmful and polluting substances may be leached into the environment in case of accidents. This occurs most frequently in marine environments (i.e. through distribution via ships) but can also affect water bodies in terrestrial and freshwater environments."
Electric/nuclear power transmission and distribution,GHG emissions,H,There can be substantial sulphur hexafluoride emissions from electric/nuclear power transmission and distribution. 
Electric/nuclear power transmission and distribution,Terrestrial ecosystem use,M,Power lines used to distribute energy contribute to habitat fragmentation and sub-stations have a local land use footprint.
Electric/nuclear power transmission and distribution,Water pollutants,M,"When power transmission lines are located in or near water bodies, waste heat from the transmission lines can lead to thermal pollution."
Electronics and hardware production,Disturbances,M,Noise pollution from manufacturing processes can negatively affect species.
Electronics and hardware production,Soil pollutants,H,"Many chemicals are used in electronics production, which could lead to pollution of soil. For example, the production of a 2g computer chip requires 1.5Kg of fossil fuels and 75g of chemicals."
Electronics and hardware production,Solid waste,M,"Manufacturing production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Electronics and hardware production,Water pollutants,H,"Many chemicals are used in electronics production, which could lead to pollution of water. For example, the production of a 2g computer chip requires 1.5Kg of fossil fuels and 75g of chemicals."
Environmental and facilities services,Solid waste,M,"Waste is produced by offices and service centres, and non-recycling of materials."
Fibre-optic cable installation (marine),Disturbances,H,"Underwater noise pollution occurs during the installation and maintenance of underwater cables from the use of vessels and machinery. Underwater noise can have adverse effects on marine species, including marine mammals and fish. The cables also produce heat and electromagnetic fields, which may affect marine life."
Fibre-optic cable installation (marine),Freshwater ecosystem use,H,"The burial and recovery of cables results in the disturbance of the riverbed affecting habitats and species including, mussel beds, seagrass beds and maerl beds. These effects can be long term."
Fibre-optic cable installation (marine),Marine ecosystem use,H,"The burial and recovery of cables results in the disturbance of the seabed affecting habitats and species including, mussel beds, seagrass beds and maerl beds. These effects can be long term."
Fibre-optic cable installation (marine),Water pollutants,H,"Cable burial, recovery and repair has the potential to release contaminated sediment into the water column."
Financial services,Solid waste,M,"Waste is produced by offices and service centres, and non-recycling of materials."
Footwear production,Non-GHG air pollutants,H,"Manufacturing processes lead to nonproduct outputs, which include liquid or gaseous emissions."
Footwear production,Soil pollutants,M,"Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Footwear production,Solid waste,M,"Manufacturing processes lead to nonproduct outputs, which include waste material, some of which is reused or recycled."
Footwear production,Water pollutants,M,"Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Footwear production,Water use,H,"Manufacturing processes and facilities use water throughout their operations for production. Based on site-level conditions some proponents may source this water directly from local water bodies, whereas others may choose to source it from utilities. In the latter case, the impact is considered to occur under the relevant water distribution production process."
Freshwater wild-caught fish,Freshwater ecosystem use,VH,"Certain types of fishing gear can heavily damage benthic environments (sea floor), leading to habitat degradation and associated impacts on species."
Freshwater wild-caught fish,Other resource use,H,"Approximately 87% of wild fisheries are exploited unsustainably (fish are removed at rates higher than species' recovery rates), leading to overfishing on a global scale. Entire populations of fish species can collapse due to wild fishing, including non-target species (referred to as bycatch)."
Freshwater wild-caught fish,Water pollutants,H,Fuel used for fishing boats and ships pollutes the marine environment.
Gas adsorption,GHG emissions,H,"The main source of pollution in this production process is the carbon emissions from creating high pressure to separate elements, which contributes to atmospheric pollution."
Gas distribution,GHG emissions,H,"Greenhouse gas emissions, particularly methane, from pipelines lead to atmospheric pollution."
Gas distribution,Marine ecosystem use,H,"Pipelines used to distribute gas have a significant spatial footprint, which can lead to habitat degradation and fragmentation throughout the pipelines' life cycle."
Gas distribution,Terrestrial ecosystem use,H,"Pipelines used to distribute gas have a significant spatial footprint, which can lead to habitat degradation and fragmentation throughout the pipelines' life cycle."
Gas retail,Solid waste,M,"Waste produced, including packaging, have significant negative environmental impacts (e.g. plastic pollution)."
Geothermal energy production,Disturbances,H,Geothermal power production can lead to disturbance (e.g. noise) and displacement of animal populations.
Geothermal energy production,GHG emissions,H,"Geothermal power production releases several types of pollutants into the environment, including CO2 (estimated at between 4-740 g CO2/kWh)."
Geothermal energy production,Soil pollutants,H,"Geothermal power production releases several types of pollutants into the environment, including minerals and heavy metals."
Geothermal energy production,Water pollutants,H,"Geothermal power production releases several types of pollutants into the environment, including minerals and heavy metals."
Geothermal energy production,Water use,VH,"Geothermal power plants have a high water footprint, which can lead to higher rates of local water abstraction, particularly when water is extracted directly from nearby water bodies. Added to this high water consumption, mechanisms used to extract/return water mean some geothermal power plants can have negative impacts on populations of local freshwater species. Intensive extraction or injection of fluids or steam can result in local geological changes, including landslides and erosion."
Glass making,GHG emissions,H,"Combustion of natural gas and oil, as well as the decomposition of raw materials during the melting phase, results in emissions of greenhouse gases such as carbon dioxide, and other indirect greenhouse gases."
Glass making,Non-GHG air pollutants,H,"Combustion of natural gas and oil, as well as the decomposition of raw materials during the melting phase, results in emissions of sulphur dioxide and nitrogen oxide. The latter two can contribute to acidification."
Glass making,Solid waste,L,"Manufacturing production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Glass making,Water pollutants,H,Sulphur dioxide and nitrogen dioxide can lead to acid rain. Water pollution may also result from water extraction and subsequent release.
Glass making,Water use,VH,"Glass production uses large quantities of water for cooling purposes. The majority of this water comes from streams, lakes, ground water, or from water mains."
Hotels and resorts provision,Solid waste,M,"Waste is produced by offices and service centres, and non-recycling of materials."
Houseware and specialities production,Non-GHG air pollutants,H,"Manufacturing processes lead to non-product outputs, which include liquid or gaseous emissions, and waste material, some of which is reused or recycled. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Houseware and specialities production,Soil pollutants,M,"Manufacturing processes lead to non-product outputs, which include liquid or gaseous emissions, and waste material, some of which is reused or recycled. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Houseware and specialities production,Solid waste,M,"Manufacturing production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Houseware and specialities production,Water pollutants,M,"Manufacturing processes lead to non-product outputs, which include liquid or gaseous emissions, and waste material, some of which is reused or recycled. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Houseware and specialities production,Water use,VH,"Manufacturing processes and facilities use water throughout their operations  for production. Based on site-level conditions some proponents may source this water directly from local water bodies, whereas others may choose to source it from water utility companies. In the latter case, the impact is considered to occur under the relevant water distribution production process."
Hydropower production,Freshwater ecosystem use,VH,"The impact of a hydropower station on nearby freshwater and terrestrial habitats will vary according to its size. Large hydropower stations lead to a large increase in freshwater habitat (and loss of terrestrial habitat) upstream, and a decrease in freshwater habitat downstream. Alteration of sediment and water flow by hydropower stations can result in increased likelihood of erosion."
Hydropower production,GHG emissions,H,Greenhouse gas emissions from water reservoirs contribute to atmospheric pollution.
Hydropower production,Soil pollutants,H,"Hydropower projects lead to alteration of sediments flows within a watershed, which can lead to increased sedimentation or sediment starvation, as well as eutrophication."
Hydropower production,Terrestrial ecosystem use,VH,Hydropower projects can impact on terrestrial plants and animals through displacement and/or mortality (particularly for plants).
Hydropower production,Water pollutants,H,"Hydropower projects can lead to water pollution through altering temperature balances, water chemistry, and by leading to increased sendimentation."
Hydropower production,Water use,VH,"Some hydropower projects may lead to diversion of water, which can result in unsustainable water abstraction. Large hydropower stations can affect the amount of water available within a watershed. Hydropower stations can significantly reduce water flow, which in some cases can result in increased likelihood of drought on a local basis."
Incomplete combustion,GHG emissions,H,Carbon dioxide and other indirect greenhouse gases are emitted in combustion processes.
Incomplete combustion,Non-GHG air pollutants,H,"Four major harmful air pollutants are emitted in combustion processes: (1) carbon disulphide, (2) carbonyl sulphide, (3) hydrogen cyanide, and (4) carbon monoxide."
Incomplete combustion,Terrestrial ecosystem use,H,The use of petroleum products in high temperatures and pressures increase likelihood of explosion and fire.
Incomplete combustion,Water use,H,"Significant amounts of water are used for pelleting, cooling and gas quenching. It is estimated that greater than 3.3 gallons of water are used for the production of one pound of black carbon."
Infrastructure builds,Disturbances,H,"Construction projects can lead to high levels of noise pollution (e.g. from pile driving and machinery operation), which can affect species in surrounding areas."
Infrastructure builds,Freshwater ecosystem use,H,"Construction can result in the clearing and degradation of habitats, leading to loss of biodiversity and natural capital on the construction sites and surrounding areas."
Infrastructure builds,GHG emissions,H,The use of heavy machinery leads to greenhouse gas emissions.
Infrastructure builds,Marine ecosystem use,VH,"Construction can result in the clearing and degradation of habitats, leading to loss of biodiversity and natural capital on the construction sites and surrounding areas."
Infrastructure builds,Non-GHG air pollutants,H,"Construction projects can cause pollution through emission of fossil fuels and spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Infrastructure builds,Soil pollutants,H,"Construction projects can cause pollution through spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Infrastructure builds,Solid waste,M,"Construction production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as cement, glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Infrastructure builds,Terrestrial ecosystem use,VH,"Construction can result in the clearing and degradation of habitats, leading to loss of biodiversity and natural capital on the construction sites and surrounding areas. Construction may lead to flooding as hard surfaces reduce the land's capacity to absorb rain water. The use of vehicles and heavy machinery can cause soil compaction, which can impede root growth."
Infrastructure builds,Water pollutants,M,"Construction projects can cause pollution through spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Infrastructure builds,Water use,H,Infrastructure construction may increase the demand for water adding to pressure on water supplies in the local area. Infrastructure construction can lead to landslides as a result of earthworks such as drilling and digging.
Infrastructure holdings,Non-GHG air pollutants,M,Waste and discharges can be present in the surrounding environment. Direct emissions from facilities contribute to environmental pollution.
Infrastructure holdings,Soil pollutants,H,Waste and discharges can be present in the surrounding environment. Direct emissions from facilities contribute to environmental pollution.
Infrastructure holdings,Solid waste,M,"Waste is produced by offices and service centres, and non-recycling of materials."
Infrastructure holdings,Water pollutants,H,Waste and discharges can be present in the surrounding environment. Direct emissions from facilities contribute to environmental pollution.
Infrastructure holdings,Water use,H,Certain services may require water which in some instances is extracted directly from local water bodies (e.g. server farms associated with cloud facilities).
Infrastructure maintenance contracts,GHG emissions,H,The use of heavy machinery leads to greenhouse gas emissions. This impact is not expected to be as high for maintenance as it would be for construction.
Infrastructure maintenance contracts,Non-GHG air pollutants,L,"Infrastructure maintenance can cause pollution through emission of fossil fuels and spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Infrastructure maintenance contracts,Soil pollutants,L,"Infrastructure maintenance can cause pollution through spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Infrastructure maintenance contracts,Terrestrial ecosystem use,M,"The use of vehicles and heavy machinery can cause soil compaction, which can impede root growth. This impact is not expected to be as high for maintenance as it would be for construction."
Infrastructure maintenance contracts,Water pollutants,L,"Infrastructure maintenance can cause pollution through spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Infrastructure maintenance contracts,Water use,H,"Infrastructure maintenance may increase the demand for water adding to pressure on water supplies in the local area. However, the increased demand would not be as high for maintenance as it would be for construction."
Integrated oil and gas,Disturbances,H,"Noise pollution caused by associated seismic activities or drilling can negatively impact species' migration routes and habitats, which may result in significant population changes. Loss of access to breeding grounds can also result in the reduction of populations near drill sites. Light pollution from facilities has a similar effect on certain species."
Integrated oil and gas,Freshwater ecosystem use,VH,"Loss of vegetation can disrupt freshwater fauna by enhancing habitat fragmentation, altering animal behaviour and reducing ecological integrity of systems. Seismic activity induced by production methods can also result in mass flows altering landscapes."
Integrated oil and gas,GHG emissions,H,"The release of carbon from fires can considerably contribute to greenhouse gas emissions. Other greenhouse gases such as methane, nitrous oxide, ozone chlorofluorocarbon, and hydrofluorocarbons are emitted through oil and gas production processes. Transport via truck, train and ship all result in the emission of greenhouse gasses, which contribute to atmospheric pollution."
Integrated oil and gas,Marine ecosystem use,VH,"Drilling for oil at sea is disruptive and can impact on natural habitats. Production of pipelines and infrastructure can result in habitat fragmentation. Produced water, exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere. It is estimated that one drilling platform discharges over 90,000 metric tonnes of drilling fluids and metal cuttings in its lifetime."
Integrated oil and gas,Non-GHG air pollutants,H,"Exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere."
Integrated oil and gas,Soil pollutants,M,"Produced water, exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere. It is estimated that one drilling platform discharges over 90,000 metric tonnes of drilling fluids and metal cuttings in its lifetime."
Integrated oil and gas,Solid waste,H,"Deposition of drill cuttings can leave significant debris in localised areas causing geological changes at a localised scale. Seismic activity used in this production process can also affect in mass flows of soil, which can highly alter landscapes."
Integrated oil and gas,Terrestrial ecosystem use,VH,"Construction of pipelines and infrastructure can result in habitat fragmentation. Drilling and use of wastewater disposal wells can alter fault pressures and cause seismic activity at dormant fault lines. Due to the flammable nature of oil and gas products there is a significant risk of fire. Certain manufacturing processes have high risk of explosions that can cause localised fires, which may spread to large areas of land."
