ProductionProcess,ImpactDriver,Justification
Fermentación alcohólica y destilería,Contaminantes del agua,"Las aguas residuales, los desechos sólidos reciclables y no reciclables y los desechos peligrosos (por ejemplo, los productos químicos) también pueden provocar un aumento de la contaminación ambiental."
Fermentación alcohólica y destilería,Contaminantes del suelo,"Las aguas residuales, los desechos sólidos reciclables y no reciclables y los desechos peligrosos (por ejemplo, los productos químicos) pueden degradar la calidad del suelo. "
Fermentación alcohólica y destilería,Residuos sólidos,"Los desechos sólidos reciclables y no reciclables (por ejemplo, envases, granos y lúpulo usados, levadura, tierra de diatomeas, desechos sólidos de la destilación) y los desechos peligrosos (por ejemplo, productos químicos) pueden provocar un aumento de la contaminación ambiental."
Refinado de alúmina,Uso de agua,"Se extraen grandes volúmenes de agua de las masas de agua locales para los procesos de extracción química y para lavar los residuos a fin de recuperar la soda cáustica para su reutilización. La mayor parte del agua se utiliza en el proceso de beneficio por flotación, la fundición y la electrorefinación. La extracción de agua para la refinación puede reducir el suministro de agua a nivel local y, cuando esto coincide con condiciones climáticas adversas, puede aumentar significativamente el riesgo de sequía."
Refinado de alúmina,Emisiones de GEI,"La refinación de alúmina suele utilizar carbón para producir la energía que se utiliza en el proceso de producción, lo que da lugar a niveles más altos de emisiones de carbono. Además, se emiten altos niveles de carbono y otros gases de efecto invernadero debido a la maquinaria utilizada en la extracción, lo que contribuye a la contaminación atmosférica"
Refinado de alúmina,Contaminantes del agua,"Los relaves contienen altos niveles de óxidos metálicos que son perjudiciales para los sistemas de suelo y agua. Además, los materiales tóxicos lixiviados del almacenamiento de relaves pueden modificar los hábitats biogénicos."
Refinado de alúmina,Contaminantes del suelo,"Los relaves contienen altos niveles de óxidos metálicos que son perjudiciales para los sistemas de suelo y agua. Además, los materiales tóxicos lixiviados del almacenamiento de relaves pueden modificar los hábitats biogénicos."
Acuicultura,Uso de ecosistema de agua dulce,"La creación de estanques o depósitos para permitir la acuicultura puede tener importantes repercusiones negativas en los hábitats de agua dulce (por ejemplo, la degradación o el desbroce del hábitat)."
Acuicultura,Uso de ecosistema marino,"La creación de estanques o depósitos para permitir la acuicultura puede tener importantes repercusiones negativas en los hábitats costeros y marinos (por ejemplo, la degradación o el desbroce del hábitat)."
Acuicultura,Contaminantes del agua,"Las prácticas de acuicultura, en particular la piscicultura, utilizan grandes cantidades de nutrientes, que se filtran a las masas de agua adyacentes, lo que provoca un aumento de la contaminación. También puede producirse la intrusión de agua salada."
Acuicultura,Contaminantes del suelo,"Las prácticas de acuicultura, en particular la piscicultura, utilizan grandes cantidades de nutrientes, que se filtran a las masas de agua adyacentes, lo que provoca un aumento de la contaminación. También puede producirse la intrusión de agua salada."
Producción de energía de biomasa,Emisiones de GEI,La producción de energía de biomasa mediante combustión directa (quema) produce emisiones de gases de efecto invernadero.
Producción de energía de biomasa,Contaminantes atmosféricos no GEI,La producción de energía de biomasa mediante la combustión directa (quema) produce emisiones de contaminantes atmosféricos.
Producción de energía de biomasa,Contaminantes del agua,La producción de energía de biomasa mediante combustión directa (quema) da lugar a la contaminación del agua debido a las emisiones de sólidos en suspensión y metales traza en las aguas residuales.
Producción de energía de biomasa,Residuos sólidos,"La producción de energía de biomasa mediante combustión directa (quema) da lugar a la producción de residuos sólidos (por ejemplo, cenizas)."
Instalaciones de cable y satélite en tierra,Uso de ecosistema terrestre,"El tendido de cables puede alterar y modificar temporalmente el hábitat. Por ejemplo, los cables de fibra óptica requieren cavar zanjas y despejar la vegetación para permitir el acceso de maquinaria de arrastre. Entre las especies que pueden verse particularmente afectadas figuran los escarabajos, los anfibios, los reptiles y los murciélagos, así como plantas como los helechos y las plantas de semilla. Pueden producirse efectos de larga duración en hábitats con especies de crecimiento lento y el uso de maquinaria pesada puede causar la compactación del suelo con efectos negativos en la biodiversidad del mismo."
Instalaciones de cable y satélite en tierra,Uso de ecosistema de agua dulce,El tendido de cables puede alterar y modificar temporalmente el hábitat. Este impacto puede ser permanente en los hábitats con especies de crecimiento lento.
Instalaciones de cable y satélite en tierra,Perturbaciones,"La contaminación acústica de los componentes eléctricos también puede afectar negativamente a las especies en las zonas localizadas alrededor de los cables, transmisores y puntos de corriente."
"Craqueo catalítico, destilación fraccionada y cristalización",Uso de agua,"Se extrae agua para usarla en el craqueo por vapor. Se requieren grandes volúmenes de agua para el enfriamiento, el procesamiento del agua y los procesos de lavado de la superficie durante el hidrocraqueo."
"Craqueo catalítico, destilación fraccionada y cristalización",Uso de ecosistema terrestre,El uso de productos derivados del petróleo a altas temperaturas y presiones aumenta la probabilidad de explosión e incendio.
"Craqueo catalítico, destilación fraccionada y cristalización",Emisiones de GEI,"Se emiten gases de efecto invernadero con el uso de energía para alcanzar las altas temperaturas necesarias para este proceso de producción, así como a partir de grandes cantidades de carbono formado en los catalizadores, que se convierte en dióxido de carbono. Cuando la energía se produce in situ contribuye directamente a las emisiones totales. Cuando la energía se obtiene de los servicios públicos constituye un impacto en los procesos de producción de energía pertinentes. Se emiten dióxido de azufre y dióxido de nitrógeno durante el proceso de craqueo."
"Craqueo catalítico, destilación fraccionada y cristalización",Contaminantes atmosféricos no GEI,"Se forman grandes cantidades de coque (contaminado por los altos niveles de azufre) en el proceso de craqueo catalítico y a la vez crean combustión en los regeneradores, lo que genera la emisión de dióxido de azufre hacia la atmósfera. Esto puede aumentar los niveles de lluvia ácida, afectando adversamente a la atmósfera, el agua y el suelo. Los riesgos de incendio y explosión se generan por los procesos de hidrocraqueo, incluyendo la liberación accidental de gas de síntesis (que contiene monóxido de carbono e hidrógeno), metanol y gas de las instalaciones de procesamiento de productos petroleros."
"Craqueo catalítico, destilación fraccionada y cristalización",Contaminantes del agua,Las principales fuentes de contaminantes del agua incluyen: 1) grandes cantidades de coque contaminado por el azufre formado en el proceso de craqueo catalítico (que emite dióxido de azufre); 2) subproductos de la cristalización fraccionada que tienen altas concentraciones de impurezas; y 3) derrames accidentales de productos derivados del petróleo o de sustancias químicas tóxicas utilizadas en diversas etapas del hidrocraqueo y la gestión de desechos.
"Craqueo catalítico, destilación fraccionada y cristalización",Contaminantes del suelo,"En el proceso de craqueo catalítico se forman grandes cantidades de coque contaminado por altos niveles de azufre que se queman en regeneradores, lo que da lugar a la emisión de dióxido de azufre a la atmósfera. Esto puede a su vez aumentar los niveles de lluvia ácida. Por lo tanto, el proceso afecta a la atmosfera, el agua y el suelo. El derrame accidental de productos derivados del petróleo conlleva a la contaminación del suelo."
"Craqueo catalítico, destilación fraccionada y cristalización",Residuos sólidos,"Las oficinas y los centros de servicios generan residuos, así como la falta de reciclaje de los materiales."
Construcción,Uso de agua,"Se extrae agua para la construcción y las operaciones. Además, el drenaje y la excavación de carreteras pueden hacer descender el nivel freático en las zonas circundantes, mientras que los terraplenes y las estructuras pueden elevar el nivel freático restringiendo el flujo. Las carreteras que intersectan las cuencas de drenaje generalmente modifican el flujo natural de las aguas superficiales concentrando los flujos en ciertos puntos. Las operaciones de excavación de túneles pueden cambiar la dirección del flujo de las aguas subterráneas. El agua se utiliza para amortiguar el polvo creado por los proyectos de infraestructura."
Construcción,Uso de ecosistema terrestre,"La construcción puede dar lugar a la remoción, degradación y fragmentación del hábitat, incluso a lo largo de los corredores de transporte. El uso de vehículos y maquinaria pesada en la construcción, incluidos los caminos y los ferrocarriles, puede dar lugar a: 1) la compactación de los suelos aluviales, 2) la pérdida de la capa superior del suelo, la erosión y la modificación del relieve de la superficie en las zonas de préstamo, 3) la carga excesiva de las pendientes, lo que provoca problemas en las mismas y 4) la alteración de los regímenes de drenaje de las pendientes."
Construcción,Uso de ecosistema de agua dulce,"La construcción de carreteras y túneles, incluyendo el uso de equipo pesado, puede conducir a: 1) la sedimentación cerca de los cruces en zonas de cultivo inundables, 2) la remoción de la vegetación y/o la modificación de los flujos de agua superficiales y subterráneos, lo que puede conducir a sequías o inundaciones, 3) la salinización y acidificación irreversibles de ciertos suelos (por ejemplo, los manglares) y 4) la desviación y canalización de ríos para acomodar nueva infraestructura, degradando los ecosistemas de agua dulce."
Construcción,Emisiones de GEI,"El uso de maquinaria pesada, el tráfico de vehículos y el uso de explosivos puede generar emisiones de dióxido de carbono y otros gases de efecto invernadero indirectos."
Construcción,Contaminantes atmosféricos no GEI,"Los proyectos de construcción pueden causar contaminación a través de la emisión de combustibles fósiles y los derrames de diesel, pinturas, solventes y químicos tóxicos. La contaminación del aire puede producirse por el tráfico de vehículos y el uso de explosivos. En ciertos lugares del mundo con requisitos menos estrictos para la eliminación de los productos de residuos tóxicos de la construcción, un proyecto de construcción puede provocar importantes daños ambientales locales. "
Construcción,Contaminantes del agua,"Los proyectos de construcción pueden causar contaminación a través de los derrames de diesel, pinturas, solventes y químicos tóxicos. La construcción puede provocar la contaminación de las fuentes de agua como resultado de la eliminación de residuos (por ejemplo, las aguas residuales de drenaje o la perforación) y el material excavado (escombros/materiales de dragado). En ciertas zonas con requisitos menos estrictos para la eliminación de los productos tóxicos de los desechos de construcción, puede producirse un daño ambiental local importante como consecuencia de un proyecto de construcción."
Construcción,Contaminantes del suelo,"La construcción de corredores de transporte puede dar lugar a la contaminación del suelo como consecuencia de la eliminación de residuos (por ejemplo, aguas residuales de lluvia, drenajes, aguas subterráneas, perforaciones) y del material excavado (escombros/materiales de dragado). Pueden producirse cambios en la química del suelo por la mezcla de los suelos debido a la excavación y el almacenamiento durante los procesos de construcción."
Construcción,Perturbaciones,"La construcción de corredores de transporte también puede dar lugar a la contaminación acústica y olfativa causada por excavaciones, la maquinaria utilizada, el tráfico y el transporte de unidades, y la carga y el acarreo de material. La construcción de carreteras puede provocar la perturbación de la fauna debido a las actividades de construcción y a la fragmentación del hábitat."
Producción de materiales de construcción,Uso de agua,"La producción de materiales de construcción requiere grandes cantidades de agua. Se estima que el consumo de agua durante la fabricación de cemento es de 100 a 600 litros por tonelada de clinker producido, que se utiliza para aportar humedad al combustible, a la materia prima y para ser inyectado en los molinos con fines de refrigeración. La producción de ladrillos también consume grandes cantidades de agua para crear arcilla consistente y moldeable para el horneado."
Producción de materiales de construcción,Uso de ecosistema terrestre,La remoción de la vegetación y la excavación del suelo modifican el hábitat. La alteración causada por las operaciones puede dar lugar a la pérdida de poblaciones de especies silvestres en una zona localizada. La extracción de agregados también causa la erosión del suelo y la degradación de la tierra. Los pequeños hornos de fuego en zonas silvestres remotas y secas pueden dar lugar a la propagación accidental y descontrolada del fuego.
Producción de materiales de construcción,Uso de ecosistema de agua dulce,Los pozos y las canteras interrumpen el movimiento existente de aguas superficiales y subterráneas; interrumpen la recarga natural de agua y pueden dar lugar a una reducción de la cantidad y la calidad del agua.
Producción de materiales de construcción,Uso de ecosistema marino,La sedimentación resultante del dragado marino puede dar lugar a la alteración de la composición de las especies y las poblaciones de las comunidades bénticas. La alteración causada por las operaciones puede dar lugar a la pérdida de poblaciones de especies silvestres en una zona localizada.
Producción de materiales de construcción,Emisiones de GEI,"La producción de materiales de construcción genera importantes emisiones de gases de efecto invernadero. Las emisiones gaseosas de la fabricación de cemento consisten en CO2, N2, O2, SO2, vapor de agua y micro componentes, es decir, la formación de CO y NOx. El contaminante más importante es el dióxido de carbono (CO2); el 40% de las emisiones provienen del uso de combustible para alcanzar altas temperaturas (2.700F) en el procesamiento y el 60% se libera de la reacción térmica del carbonato de calcio para producir cal y dióxido de carbono."
Producción de materiales de construcción,Contaminantes atmosféricos no GEI,"Las emisiones de gases de efecto no invernadero de la producción de cemento consisten en vapor de agua y micro componentes, es decir, la formación de CO y NOx. La cocción de arcilla durante la producción de ladrillos emite monóxido de carbono y óxidos de azufre que contribuyen a la contaminación atmosférica."
Producción de materiales de construcción,Contaminantes del agua,La producción de cemento genera contaminación del agua.
Producción de materiales de construcción,Residuos sólidos,"Los procesos de producción manufacturera (incluida la producción de cemento) dan lugar a la creación de grandes volúmenes de residuos sólidos. Los tipos exactos de residuos sólidos producidos variarán, pero pueden incluir materiales residuales de producción como vidrio, metal, plástico, papel y cartón, madera, caucho y cuero."
Producción de materiales de construcción,Perturbaciones,Los ecosistemas adyacentes son afectados por el ruido.
Suministros para cruceros,Residuos sólidos,"Las oficinas y los centros de servicios producen residuos, así como la falta de reciclaje de los materiales. "
Separación criogénica de aire,Uso de agua,El agua es utilizada para enfriar la maquinaria en ciertos puntos del proceso de producción.
Separación criogénica de aire,Contaminantes atmosféricos no GEI,El escape de refrigerante puede emitir compuestos orgánicos volátiles (COV). Los metales nocivos se utilizan como catalizadores y pueden ser emitidos si no se eliminan adecuadamente.
Separación criogénica de aire,Contaminantes del agua,Los metales nocivos se utilizan como catalizadores y pueden emitirse a la atmósfera si no se eliminan adecuadamente. Los líquidos a base de petróleo usados en la maquinaria de presión pueden escapar a los cursos de agua.
Separación criogénica de aire,Contaminantes del suelo,Los metales nocivos se utilizan como catalizadores y pueden emitirse a la atmósfera si no se eliminan adecuadamente.
Separación criogénica de aire,Perturbaciones,La operación de la maquinaria puede producir contaminación acústica y vibraciones.
Distribución,Uso de ecosistema marino,Los cambios físicos en el movimiento de las olas debido a la distribución mediante buques pueden provocar un aumento de la erosión a lo largo de la línea costera y litoral.
Distribución,Emisiones de GEI,"La contaminación atmosférica se produce por los combustibles y productos químicos utilizados durante la distribución. Los contaminantes del aire incluyen las emisiones de dióxido de carbono (CO2) y otros gases de efecto invernadero indirectos. Además, se pueden filtrar sustancias nocivas y contaminantes al medio ambiente en caso de accidentes."
Distribución,Contaminantes atmosféricos no GEI,"La contaminación atmosférica se produce por los combustibles y productos químicos utilizados durante la distribución. Los contaminantes del aire incluyen emisiones de monóxido de carbono (CO), hidrocarburos, óxido de nitrógeno (NOx), dióxido de azufre (SO2), material particulado y compuestos orgánicos volátiles (COV). Además, se pueden filtrar sustancias nocivas y contaminantes al medio ambiente en caso de accidentes."
Distribución,Contaminantes del agua,"La contaminación del agua se produce por los combustibles y los productos químicos utilizados durante la distribución. Además, se pueden filtrar sustancias nocivas y contaminantes al medio ambiente en caso de accidentes. Esto ocurre con mayor frecuencia en los entornos marinos (es decir, mediante la distribución en buques), pero también puede afectar a las masas de agua en los entornos terrestres y de agua dulce."
Distribución,Contaminantes del suelo,Se pueden filtrar sustancias nocivas y contaminantes al medio ambiente en caso de accidentes.
Distribución,Perturbaciones,"La contaminación acústica se produce a partir de los vehículos (terrestres, marinos y aéreos), que son fuentes importantes de ruido terrestre, marino y aéreo, respectivamente."
Transmisión y distribución de energía eléctrica/nuclear,Uso de ecosistema terrestre,Las líneas de energía utilizadas para distribuir la energía contribuyen a la fragmentación del hábitat y las subestaciones tienen una huella local de uso de la tierra.
Electrónica y producción de hardware,Contaminantes del agua,"Se utilizan muchos productos químicos en la producción electrónica, lo que podría conducir a la contaminación del agua. Por ejemplo, la producción de un chip de computadora de 2g requiere 1,5Kg de combustibles fósiles y 75g de productos químicos."
Electrónica y producción de hardware,Contaminantes del suelo,"Se utilizan muchos productos químicos en la producción electrónica, lo que podría conducir a la contaminación del agua. Por ejemplo, la producción de un chip de computadora de 2g requiere 1,5Kg de combustibles fósiles y 75g de productos químicos."
Electrónica y producción de hardware,Residuos sólidos,"Los procesos de producción manufacturera conducen a la creación de grandes volúmenes de residuos sólidos. Los tipos exactos de residuos sólidos producidos variarán, pero estos pueden incluir materiales residuales de producción como vidrio, metal, plástico, papel y cartón, madera, caucho y cuero."
Servicios ambientales y de créditos,Residuos sólidos,"Las oficinas y los centros de servicios producen residuos, así como la falta de reciclaje de los materiales. "
Instalación de cable de fibra óptica (marítima),Uso de ecosistema de agua dulce,"El soterramiento y la recuperación de los cables provoca la perturbación del lecho del río, lo que afecta a los hábitats y las especies, como los mejillones, los lechos de algas marinas y los maerl. Estos efectos pueden ser a largo plazo."
Instalación de cable de fibra óptica (marítima),Uso de ecosistema marino,"El soterramiento y la recuperación de los cables provoca la perturbación del lecho del río, lo que afecta a los hábitats y las especies, como los mejillones, los lechos de algas marinas y los maerl. Estos efectos pueden ser a largo plazo."
Instalación de cable de fibra óptica (marítima),Contaminantes del agua,"El soterramiento, la recuperación y reparación de cables tiene el potencial de liberar sedimentos contaminados en la columna de agua."
Instalación de cable de fibra óptica (marítima),Perturbaciones,"La contaminación acústica submarina se produce durante la instalación y el mantenimiento de los cables submarinos por el uso de buques y maquinaria. El ruido subacuático puede tener efectos adversos en las especies marinas, incluidos los mamíferos y los peces marinos. Los cables también producen calor y campos electromagnéticos, que pueden afectar a la vida marina."
Servicios financieros,Residuos sólidos,"Las oficinas y los centros de servicios producen residuos, así como la falta de reciclaje de los materiales."
Producción de calzado,Uso de agua,"Los procesos y las instalaciones de manufactura utilizan agua en todas sus operaciones para la producción. En función de las condiciones del lugar, algunos son partidarios de obtener esta agua directamente de las masas de agua locales, mientras que otros pueden optar por obtenerla de los servicios públicos. En este último caso, se considera que el impacto se produce en el proceso de producción y distribución del agua correspondiente."
Producción de calzado,Contaminantes atmosféricos no GEI,"Los procesos de fabricación generan materiales residuales de producción, que incluyen emisiones de líquidos o gases."
Producción de calzado,Contaminantes del agua,"La contaminación puede producirse como resultado del uso de ciertos materiales y sustancias como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de calzado,Contaminantes del suelo,"La contaminación puede producirse como resultado del uso de ciertos materiales y sustancias como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de calzado,Residuos sólidos,"Los procesos de fabricación generan materiales residuales de producción, que incluyen material de desecho, algunos de los cuales se reutilizan o reciclan."
Peces capturados en aguas dulces,Uso de ecosistema marino,"Ciertos tipos de artes de pesca pueden dañar gravemente los entornos bénticos (fondos marinos), lo que provoca la degradación del hábitat y efectos relacionados en las especies."
Peces capturados en aguas dulces,Uso de otros recursos,"Aproximadamente el 87% de las pesquerías silvestres se explotan de manera no sostenible (los peces se extraen a tasas más altas que las tasas de recuperación de las especies), lo que conduce a la sobrepesca a escala mundial. Poblaciones enteras de especies de peces pueden colapsar debido a la pesca silvestre, incluidas las especies que no son objeto de la pesca (lo que se denomina captura incidental)."
Peces capturados en aguas dulces,Contaminantes del agua,El combustible utilizado por los barcos pesqueros y los buques contamina el medio ambiente marino.
Adsorción de gas,Emisiones de GEI,"La principal fuente de contaminación en este proceso de producción son las emisiones de carbono por la creación de alta presión para separar elementos, lo que contribuye a la contaminación atmosférica."
Distribución de gas,Uso de ecosistema terrestre,"Los gaseoductos utilizados para distribuir el gas tienen una importante huella espacial, lo que puede dar lugar a la degradación y fragmentación del hábitat a lo largo del ciclo de vida de los gaseoductos."
Distribución de gas,Uso de ecosistema marino,"Los gaseoductos utilizados para distribuir el gas tienen una importante huella espacial, lo que puede dar lugar a la degradación y fragmentación del hábitat a lo largo del ciclo de vida de los gaseoductos."
Distribución de gas,Emisiones de GEI,"Las emisiones de gases de efecto invernadero, en particular de metano, de los oleoductos y gaseoductos provocan la contaminación atmosférica."
Venta de gas al por menor,Residuos sólidos,"Los residuos producidos, incluidos los envases, tienen importantes repercusiones negativas en el medio ambiente (por ejemplo, la contaminación por plástico)."
Producción de energía geotérmica,Uso de agua,"Las plantas de energía geotérmica tienen una alta huella de agua, lo que puede conducir a mayores tasas de extracción de agua local, en particular cuando el agua se extrae directamente de los cuerpos de agua cercanos. Además de este elevado consumo de agua, los mecanismos utilizados para extraer/retornar el agua significan que algunas plantas de energía geotérmica pueden tener impactos negativos en las poblaciones de las especies locales de agua dulce. La extracción o la inyección de fluidos o vapor intensivas pueden dar lugar a cambios geológicos locales, incluidos los deslizamientos de tierra y la erosión."
Producción de energía geotérmica,Emisiones de GEI,"La producción de energía geotérmica libera varios tipos de contaminantes en el medio ambiente, incluyendo el CO2 (estimado entre 4-740 g CO2/kWh)."
Producción de energía geotérmica,Contaminantes del agua,"La producción de energía geotérmica libera varios tipos de contaminantes en el medio ambiente, incluidos minerales y metales pesados."
Producción de energía geotérmica,Contaminantes del suelo,"La producción de energía geotérmica libera varios tipos de contaminantes en el medio ambiente, incluidos minerales y metales pesados."
Producción de energía geotérmica,Perturbaciones,"La producción de energía geotérmica puede provocar perturbaciones (por ejemplo, ruido) y el desplazamiento de las poblaciones animales."
Fabricación de vidrios,Uso de agua,"En la producción de vidrio se utilizan grandes cantidades de agua para la refrigeración. La mayoría de esta agua proviene de arroyos, lagos, aguas subterráneas o de las cañerías de agua."
Fabricación de vidrios,Emisiones de GEI,"La combustión de gas natural y petróleo, así como la descomposición de las materias primas durante la fase de fundición, da lugar a emisiones de gases de efecto invernadero como el dióxido de carbono, y otros gases de efecto invernadero indirectos."
Fabricación de vidrios,Contaminantes atmosféricos no GEI,"La combustión de gas natural y petróleo, así como la descomposición de las materias primas durante la fase de fusión, da lugar a emisiones de dióxido de azufre y óxido de nitrógeno. Estos dos últimos pueden contribuir a la acidificación."
Fabricación de vidrios,Contaminantes del agua,El dióxido de azufre y el dióxido de nitrógeno pueden conducir a la lluvia ácida. La contaminación del agua también puede ser el resultado de la extracción de agua y la subsiguiente liberación de la misma
Fabricación de vidrios,Residuos sólidos,"Los procesos de producción manufacturera conducen a la creación de grandes volúmenes de residuos sólidos. Los tipos exactos de residuos sólidos producidos variarán, pero estos pueden incluir materiales residuales de producción como vidrio, metal, plástico, papel y cartón, madera, caucho y cuero."
Suministros para hoteles y resorts,Residuos sólidos,"Las oficinas y los centros de servicios producen residuos, así como la falta de reciclaje de los materiales."
Producción de artículos para el hogar y especialidades,Uso de agua,"Los procesos e instalaciones de manufactura utilizan agua en todas sus operaciones de producción. En función de las condiciones del lugar, algunos son partidarios de obtener esta agua directamente de las masas de agua locales, mientras que otros pueden optar por obtenerla de las empresas de servicios de agua. En este último caso, se considera que el impacto se produce en el proceso de producción y distribución del agua correspondiente."
Producción de artículos para el hogar y especialidades,Contaminantes atmosféricos no GEI,"Los procesos de fabricación dan lugar a materiales residuales de producción, que incluyen emisiones de líquidos o gases y material de desecho, algunos de los cuales se reutilizan o reciclan. Pueden producirse otras formas de contaminación como resultado del uso de ciertos materiales y sustancias como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de artículos para el hogar y especialidades,Contaminantes del agua,"Los procesos de fabricación dan lugar a materiales residuales de producción, que incluyen emisiones de líquidos o gases y material de desecho, algunos de los cuales se reutilizan o reciclan. Pueden producirse otras formas de contaminación como resultado del uso de ciertos materiales y sustancias como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de artículos para el hogar y especialidades,Contaminantes del suelo,"Los procesos de fabricación dan lugar a materiales residuales de producción, que incluyen emisiones de líquidos o gases y material de desecho, algunos de los cuales se reutilizan o reciclan. Pueden producirse otras formas de contaminación como resultado del uso de ciertos materiales y sustancias como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de artículos para el hogar y especialidades,Residuos sólidos,"Los procesos de producción manufacturera conducen a la creación de grandes volúmenes de residuos sólidos. Los tipos exactos de residuos sólidos producidos variarán, pero estos pueden incluir materiales residuales de producción como vidrio, metal, plástico, papel y cartón, madera, caucho y cuero."
Producción de energía hidroeléctrica,Uso de agua,"Algunos proyectos hidroeléctricos pueden dar lugar a la desviación de agua, lo que puede dar lugar a una extracción de agua no sostenible. Las grandes centrales hidroeléctricas pueden afectar la cantidad de agua disponible dentro de una cuenca. Las centrales hidroeléctricas pueden reducir considerablemente el caudal de agua, lo que en algunos casos puede dar lugar a una mayor probabilidad de sequía a nivel local."
Producción de energía hidroeléctrica,Uso de ecosistema terrestre,Los proyectos hidroeléctricos pueden tener un impacto en las plantas y animales terrestres a través del desplazamiento y/o la mortalidad (particularmente para las plantas).
Producción de energía hidroeléctrica,Uso de ecosistema de agua dulce,"El impacto de una central hidroeléctrica en los hábitats terrestres y de agua dulce cercanos variará según su tamaño. Las grandes centrales hidroeléctricas provocan un gran aumento del hábitat de agua dulce (y la pérdida de hábitat terrestre) aguas arriba, y una disminución del hábitat de agua dulce aguas abajo. La alteración del flujo de sedimentos y agua por las centrales hidroeléctricas puede dar lugar a una mayor probabilidad de erosión."
Producción de energía hidroeléctrica,Emisiones de GEI,Las emisiones de gases de efecto invernadero de los depósitos de agua contribuyen a la contaminación atmosférica.
Producción de energía hidroeléctrica,Contaminantes del suelo,"Los proyectos de energía hidroeléctrica provocan la alteración de los flujos de sedimentos dentro de una cuenca, lo que puede dar lugar a un aumento de la sedimentación o a la inanición de sedimentos, así como a la eutrofización."
