Process,Ecosystem Service,RAG,Justification
Producción de energía de biomasa,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de energía de biomasa,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Instalaciones de cables y satélites en tierra,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Instalaciones de cables y satélites en tierra,Calidad del suelo,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico "
Instalaciones de cables y satélites en tierra,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Agua subterránea,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
"Craqueo catalítico, destilación fraccionada y cristalización",Agua superficial,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
"Craqueo catalítico, destilación fraccionada y cristalización",Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Mantenimiento del flujo de agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Regulación climática,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Craqueo catalítico, destilación fraccionada y cristalización",Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Construcción,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Construcción,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Construcción,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Construcción,Calidad del suelo,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Construcción,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Construcción,Control de plagas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Construcción,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Construcción,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Construcción,Mediación de impactos sensoriales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Construcción,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Construcción,Regulación climática,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Construcción,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de materiales para la construcción,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de materiales para la construcción,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de materiales para la construcción,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de materiales para la construcción,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de materiales para la construcción,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Suministro para cruceros,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Suministro para cruceros,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Suministro para cruceros,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Suministro para cruceros,Regulación climática,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Suministro para cruceros,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Suministro para cruceros,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Separación criogénica de aire,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Separación criogénica de aire,Agua subterránea,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Agua superficial,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Mantenimiento del flujo de agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Dilución por la atmósfera y los ecosistemas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Separación criogénica de aire,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Distribución,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Distribución,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Distribución,Regulación climática,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Transmisión y distribución de energía eléctrica/nuclear,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Transmisión y distribución de energía eléctrica/nuclear,Estabilización de masa y control de la erosión,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Transmisión y distribución de energía eléctrica/nuclear,Protección contra inundaciones y tormentas,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de artículos electrónicos y hardware,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de artículos electrónicos y hardware,Agua superficial,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de artículos electrónicos y hardware,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Servicios ambientales y de instalaciones,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Servicios ambientales y de instalaciones,Agua subterránea,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Servicios ambientales y de instalaciones,Agua superficial,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Instalación de cables de fibra óptica (marina),Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Instalación de cables de fibra óptica (marina),Regulación climática,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Instalación de cables de fibra óptica (marina),Calidad del agua,L ,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Instalación de cables de fibra óptica (marina),Amortiguamiento y atenuación de los flujos de masa,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Servicios financieros,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de calzado,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de calzado,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de calzado,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de calzado,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de calzado,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de calzado,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de calzado,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Peces de agua dulce capturados en el medio silvestre,Ventilación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Peces de agua dulce capturados en el medio silvestre,Control de plagas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Peces de agua dulce capturados en el medio silvestre,Control de enfermedades,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Peces de agua dulce capturados en el medio silvestre,Dilución por la atmósfera y los ecosistemas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Peces de agua dulce capturados en el medio silvestre,Estabilización de masa y control de la erosión,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Peces de agua dulce capturados en el medio silvestre,Calidad del suelo,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Peces de agua dulce capturados en el medio silvestre,Materiales genéticos,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Peces de agua dulce capturados en el medio silvestre,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Peces de agua dulce capturados en el medio silvestre,Amortiguamiento y atenuación de los flujos de masa,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Peces de agua dulce capturados en el medio silvestre,Mantenimiento de hábitats de reproducción,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Peces de agua dulce capturados en el medio silvestre,Calidad del agua,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Peces de agua dulce capturados en el medio silvestre,Regulación climática,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Adsorción de gas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Adsorción de gas,Agua subterránea,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Agua superficial,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Mantenimiento del flujo de agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Dilución por la atmósfera y los ecosistemas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Adsorción de gas,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Distribución de gas,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Distribución de gas,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Distribución de gas,Estabilización de masa y control de la erosión,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Venta de gas al por menor,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Venta de gas al por menor,Mantenimiento del flujo de agua,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Venta de gas al por menor,Calidad del agua,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Venta de gas al por menor,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Venta de gas al por menor,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de energía geotérmica,Agua superficial,M,"La energía geotérmica de alta temperatura es la forma predominante de energía geotérmica producida comercialmente y no depende en gran medida de las aguas superficiales. Sin embargo, la geotermia de baja temperatura depende típicamente del servicio de cantidades significativas de agua superficial y no podría funcionar sin ella."
Producción de energía geotérmica,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de energía geotérmica,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de energía geotérmica,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
