Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Inundaciones ,R,"Los hábitats de agua dulce son altamente susceptibles a las inundaciones a través del cambio geomorfológico y la introducción de especies invasoras. En consecuencia, se espera que habrá un cambio negativo en el hábitat debido a una mayor frecuencia de inundaciones. Los casos de inundación han incrementado en frecuencia y duración desde los primeros años de 2000 y se espera que aumentarán en el futuro con una mayor frecuencia impactando directamente a los hábitats.",Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. Acción del oleaje generada por los vientos.,Dañan la vegetación protectora.,Variación natural ,Corto plazo,Global
Amortiguamiento y atenuación de los flujos de masa,Geomorfología del suelo,Inundaciones,R,"Las inundaciones impactan la geomorfología del suelo al alterar el flujo natural de las masas de agua, mover grandes volúmenes de suelo y sedimentos, depósitar de sedimentos y arrastrar fragmentos de roca; también causan cambio indirectamente a través de la erosión, cambio de hábitat y cambios en el suelo.",Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. Acción del oleaje generada por los vientos.,Dañan la vegetación protectora.,Variación natural ,Corto plazo,Global
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Inundaciones,A,"Las inundaciones disminuyen la estabilidad de los suelos y causan cambios en la composición. La disponibilidad de oxígeno también es afectada por las inundaciones extensas y produce un cambio en los ciclos de nutrientes, al afectar, como respuesta, los procesos del suelo.",Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. Acción del oleaje generada por los vientos.,Dañan la vegetación protectora. ,Variación natural ,Corto plazo ,Global
Amortiguamiento y atenuación de los flujos de masa,Hábitats ,Modificación del hábitat  ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.","Deforestación,  reducción de cobertura vegetal ",Disminuye la estabilidad y resistencia de la capa superior del suelo. No hay barreras para el amortiguamiento y la atenuación.,Acción humana  ,Corto-mediano  plazo ,Local
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Modificación del hábitat  ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.","Deforestación, reducción de cobertura vegetal ",Reduce la estabilidad y resistencia de la capa superior del suelo. Reducción del control de la erosión.,Acción humana ,Corto-mediano plazo ,Local
Amortiguamiento y atenuación de los flujos de masa,Geomorfología del suelo ,Modificación del hábitat  ,A,"Los cambios de hábitats, tales como la deforestación, pueden alterar indirectamente los accidentes geográficos al exponer el terreno a la erosión y el desprendimiento de tierras, uno de los principales generadores de las alteraciones de formaciones del terreno.","Derivación de surcos de drenaje, vías navegables, presa por lavados, etc.",Concentración de escorrentías. Aumenta la ruptura del suelo y la vulnerabilidad a la erosión que causan la pérdida del servicio.,Acción humana ,Corto-mediano plazo ,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Modificación del hábitat  ,A,"La modificación de hábitats puede afectar a los suelos tanto química como físicamente. La modificación física, por ejemplo, a través de la agricultura, puede aumentar la exposición a suelo desnudo, menor fertilidad o sobrepastoreo ? todo ello puede afectar a los suelos. Se espera que la modificación de hábitats empeore como resultado del crecimiento demográfico y económico, que producirá tendencias adversas de suelos y sedimentos en el largo plazo.","Derivación de surcos de drenaje, vías navegables, presa por lavados, etc.",Concentración de escorrentías. Aumenta la ruptura del suelo y la vulnerabilidad a la erosión que causan la pérdida del servicio.,Acción humana  ,Corto-mediano plazo ,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Modificación del hábitat  ,A,"La modificación de hábitats puede afectar a los suelos tanto química como físicamente. La modificación física, por ejemplo, a través de la agricultura, puede aumentar la exposición a suelo desnudo, menor fertilidad o sobrepastoreo ? todo ello puede afectar a los suelos. Se espera que la modificación de hábitats empeore como resultado del crecimiento demográfico y económico, que producirá tendencias adversas de suelos y sedimentos en el largo plazo.","Derivación de surcos de drenaje, vías navegables, presa por lavados, etc.",Concentración de escorrentías. Aumenta la ruptura del suelo y la vulnerabilidad a la erosión que causan la pérdida del servicio.,Acción humana  ,Corto-mediano plazo ,Local
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Actividades industriales o domésticas ,A,"Al igual que con los impactos de construcción, se anticipa que la cantidad y calidad de hábitats disminuirán en el largo plazo, como resultado de las presiones del desarrollo económico. Los mecanismos mediante los cuales las actividades industriales o domésticas impulsan el cambio en los hábitats son, con frecuencia, complejos y existe cierta incertidumbre. Algunos hábitats son más resilientes a impactos que otros, por lo tanto, hay una variabilidad en las respuestas. ",Acción fuerte del oleaje por las embarcaciones ,Los sistemas costeros como los bosques de manglar podrían dañarse.,Acción humana,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Geomorfología del suelo ,Actividades industriales o domésticas ,A,"Las actividades intencionales (por ejemplo, minería, construcción, industria, generación de residuos y construcción de carreteras, canales, etc.) y las actividades no intencionales (por ejemplo, erosión relacionada a la modificación de hábitats) generan cambios significativos al subsuelo del terreno. Los impactos humanos en los procesos y estructuras geomorfológicos estan aumentando en cantidad y fuerza con el tiempo.",Acción fuerte del oleaje por las embarcaciones ,Los sistemas costeros como los bosques de manglar podrían dañarse.,Acción humana ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Actividades industriales o domésticas,A,"Las actividades industriales y la urbanización son fuentes clave de la contaminación de los suelos locales. Las actividades intensivas, tales como la disposición inadecuada de residuos, y los accidentes industriales pueden causar la contaminación excesiva de los suelos. La urbanización y la industrialización también aumentan la deposición ácida en los suelos, y cambios en los nutrientes del suelo y agua del suelo.",Acción fuerte del oleaje por las embarcaciones ,Los sistemas costeros como los bosques de manglar podrían dañarse.,Acción humana ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Agricultura y acuicultura intensivas ,A,"La intensificación en el uso del suelo agrícola y el uso de fertilizantes inorgánicos tienen un gran impacto en la degradación y calidad del suelo. Las prácticas agrícolas modernas, tales como la labranza mecanizada, cambian la estructura del suelo y reducen la fertilidad. El daño depende en gran medida del tipo de suelo y otros factores. Los agroquímicos causan contaminación del suelo, y cambios en la acidificación del suelo, la salinidad, el balance nutricional e hídrico y la biodiversidad de suelos.",Cambia las propiedades del suelo ,"Cambia las propiedades de retención de agua del suelo, por consiguiente, aumenta la susceptibilidad a la erosión hídrica o eólica.",Acción humana ,Corto-mediano plazo ,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Agricultura y acuicultura intensivas ,A,"La intensificación en el uso del suelo agrícola y el uso de fertilizantes inorgánicos tienen un gran impacto en la degradación y calidad del suelo. Las prácticas agrícolas modernas, tales como la labranza mecanizada, cambian la estructura del suelo y reducen la fertilidad. El daño depende en gran medida del tipo de suelo y otros factores. Los agroquímicos causan contaminación del suelo, y cambios en la acidificación del suelo, la salinidad, el balance nutricional e hídrico y la biodiversidad de suelos.",Cambia las propiedades del suelo ,"Cambia las propiedades de  retención de agua del suelo, por consiguiente, aumenta la susceptibilidad a la erosión hídrica o eólica.",Acción humana ,Corto-mediano plazo ,Local
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Desprendimiento de tierras ,R,Los hábitats están sujetos cada vez más a cambios como resultado de los cambios geológicos inducidos por los flujos de masa. Los estudios han demostrado aumentos de la frecuencia y la intensidad de los procesos asociados debido a las actividades humanas. Los hábitats acuáticos de agua dulce y  pastizales son altamente susceptibles a la disrupción en los balances nutricionales y la calidad de agua que los flujos de masa producen.,"Movimientos de tierra, alteración de la inclinación de pendientes, longitud de pendientes y morfología de pendientes.","Mayor ruptura del suelo y vulnerabilidad a la erosión hídrica. La velocidad de escorrentías aumenta en pendientes pronunciadas, que aumenta el poder del agua para partir y transportar partículas del suelo.",Variación natural ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Geomorfología del suelo,Desprendimiento de tierras ,A,"La erosión y el desprendimiento de tierras impactan de manera significativa la morfología de laderas, canales de río, fondos de valle, etc., y producen cambios en elementos estructurales, tales como la altitud, el relieve y la pendiente. La susceptibilidad depende en gran medida de la longitud y ángulo de la pendiente, las características del suelo y la estructura, y la fuerza del impacto; por lo tanto hay variabilidad en la respuesta del activo a este generador, pero es bajo. ","Movimientos de tierra, alteración de la inclinación de pendientes, longitud de pendientes y morfología de pendientes.","Mayor ruptura del suelo y vulnerabilidad a la erosión hídrica. La velocidad de escorrentías aumenta en pendientes pronunciadas, que aumenta el poder del agua para partir y transportar partículas del suelo.",Variación natural ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Desprendimiento de tierras ,A,"Los cambios geológicos tienen efectos negativos directos sobre la fertilidad y la disponibilidad del agua, entre otros. La susceptibilidad del suelo a los cambios geológicos es variable y depende de diversas propiedades físicas, bióticas y químicas, mientras que la erosionabilidad del suelo es altamente dependiente de factores externos, tales como la vegetación.","Movimientos de tierra, alteración de la inclinación de pendientes, longitud de pendientes y morfología de pendientes.","Mayor ruptura del suelo y vulnerabilidad a la erosión hídrica. La velocidad de escorrentías aumenta en pendientes pronunciadas, que aumenta el poder del agua para partir y transportar partículas del suelo.",Variación natural ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Tormentas ,R,"Las tormentas pueden tener impactos negativos fuertes en determinados tipos de hábitats, tales como los arrecifes coralinos poco profundos. Se espera que la intensidad y la frecuencia de las tormentas aumentarán en los próximos 100 años con tormentas tropicales previstas de aumentar en intensidad entre 2% y 11%. Sin embargo, hay un alto nivel de variabilidad en las respuestas de los hábitats a las tormentas.",Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. Acción del oleaje generada por los vientos.,Dañan la vegetación protectora.,Variación natural ,Corto plazo,Global
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Tormentas,A,"Las tormentas impulsan la erosión del suelo por cambios en la intensidad de lluvia y viento, escorrentías y pérdida de estabilidad estructural. Las escorrentías pueden causar pérdida de nutrientes y fertilidad. La susceptibilidad depende de las propiedades del suelo y la intensidad del generador, que causan variabilidad en el impacto. ",Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. Acción del oleaje generada por los vientos.,Dañan la vegetación protectora.,Variación natural ,Corto plazo,Global
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Condiciones climáticas ,R,"Las condiciones climáticas afectan a los hábitats en varias formas. El aumento de temperatura ha provocado, por ejemplo, cambios en la composición vegetal, mientras que los eventos climáticos extremos han afectado a los hábitats a nivel global. Por lo tanto, se espera que las alteraciones de hábitats existentes aumentarán en los próximos 100 años con incrementos de temperatura y cambios de condiciones climáticas previstos.",Intensidad de lluvia ,Un riesgo ya que las gotas de lluvia pesadas sobre el suelo desnudo hacen que la superficie del suelo selle y la creciente ruptura del suelo y vulnerabilidad a la erosión hídrica.,Variación natural ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Condiciones climáticas ,R,"Las condiciones climáticas afectan a los hábitats en varias formas. El aumento de temperatura ha provocado, por ejemplo, cambios en la composición vegetal, mientras que los eventos climáticos extremos han afectado a los hábitats a nivel global. Por lo tanto, se espera que las alteraciones de hábitats existentes aumentarán en los próximos 100 años con incrementos de temperatura y cambios de condiciones climáticas previstos.",Intensidad de lluvia,Un riesgo ya que las gotas de lluvia pesadas sobre el suelo desnudo hacen que la superficie del suelo selle la creciente erosionabilidad.,Variación natural ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Condiciones climáticas  ,A,"Los suelos y sedimentos pueden ser secados y reordenados por vientos fuertes. A medida que el suelo se seca, el crecimiento vegetal disminuye, lo que reduce la estabilidad de la capa superficial y produce erosión. La desertificación es una versión más extrema de este proceso, donde los suelos que pierden comunidades vegetales estables se vuelven inestables y, por consiguiente, empiezan a alterarse. Por el contrario, los incrementos de precipitación pueden causar cambios en la textura y estructura del suelo, con aumentos de escorrentías que causan la reducción de la capa superior del suelo (que con frecuencia es la parte más productiva del suelo).",Intensidad de lluvia ,Un riesgo pues las gotas de lluvia pesadas sobre el suelo desnudo hacen que la superficie del suelo selle la creciente erosionabilidad. Mayor ruptura del suelo y vulnerabilidad a la erosión hídrica.,Variación natural ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Condiciones climáticas ,A,"Los suelos y sedimentos pueden ser secados y reordenados por vientos fuertes. A medida que el suelo se seca, el crecimiento vegetal disminuye, lo que reduce la estabilidad de la capa superficial y produce erosión. La desertificación es una versión más extrema de este proceso, donde los suelos que pierden comunidades vegetales estables se vuelven inestables y, por consiguiente, empiezan a alterarse. Por el contrario, los incrementos de precipitación pueden causar cambios a la textura y estructura del suelo, con aumentos de escorrentías que causan la reducción en la capa superior del suelo (que con frecuencia es la parte más productiva del suelo).",Intensidad de lluvia,Un riesgo pues las gotas de lluvia pesadas sobre el suelo desnudo causan que la superficie del suelo selle la creciente erosionabilidad.,Variación natural ,Corto plazo,Local
Regulación climática,Atmósfera ,Modificación del hábitat ,R,"La modificación de hábitats puede generar una extensa liberación de carbono (por ejemplo, la deforestación mediante tala y quema) que contribuye a >10% de las emisiones de carbono a nivel global, al aumentar las temperaturas ambientales y superficiales y alterar las corrientes circulatorias en la atmósfera. Con incrementos de la modificación de hábitats proyectados, se espera que la composición de gases atmosféricos y la variabilidad climática continúen durante los próximos 100 años.",La conversión de humedales para fines comerciales y la extracción de recursos producen la pérdida de la función reguladora climática regional.,La conversión de humedales hace que la temperatura promedio aumente en 0.77°C en las cuatro estaciones.,Acción humana ,Mediano,Global
Regulación climática,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y las comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.",El cambio en el uso del suelo altera el suministro de sedimentos lo que produce un cambio de estado en el activo ,Se reduce el enterramiento de carbono en sedimentos marinos; aumentan las emisiones de carbono ,Acción humana,Corto plazo,Ecosistemas costeros 
Regulación climática,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y las comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por eso los impactos difieren.",La deforestación reduce la densidad y diversidad de los árboles ,"La evapotranspiración disminuye, mayor superficie del suelo expuesta lo que aumenta el albedo y el calentamiento climático",Acción humana,Mediano plazo,Trópicos
Regulación climática,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y las comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por eso los impactos difieren.",La conversión de humedales para fines comerciales y extracción de recursos producen la pérdida de la función reguladora climática regional.,La conversión de humedales hace que la temperatura promedio aumente en 0.77°C en las cuatro estaciones.,Acción humana ,Mediano plazo,Global
Regulación climática,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y las comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.",Conversión de los bosques en tierras cultivadas provoca la eliminación de la biomasa aerea.,Aumento de las emisiones de carbono.,Acción humana,Corto plazo,Bosques tropicales
Regulación climática,Suelos y sedimentos,Modificación del hábitat ,A,"La modificación de hábitats puede afectar a los suelos tanto química como físicamente. La modificación física, por ejemplo, a través de la agricultura, puede aumentar la exposición a suelo desnudo, menor fertilidad o sobrepastoreo ? todo ello puede afectar a los suelos. Se espera que la modificación de hábitats empeore como resultado del crecimiento demográfico y económico, que producirá tendencias adversas de suelos y sedimentos en el largo plazo.",El cambio en el uso del suelo altera el suministro de sedimentos lo que produce un cambio de estado en el activo ,Se reduce el enterramiento de carbono en sedimentos marinos; aumentan las emisiones de carbono ,Acción humana,Corto plazo,Ecosistemas costeros
Regulación climática,Suelos y sedimentos,Modificación del hábitat ,A,"La modificación de hábitats puede afectar a los suelos tanto química como físicamente. La modificación física, por ejemplo, a través de la agricultura, puede aumentar la exposición a suelo desnudo, menor fertilidad o sobrepastoreo ? todo ello puede afectar a los suelos. Se espera que la modificación de hábitats empeore como resultado del crecimiento demográfico y económico, que producirá tendencias adversas de suelos y sedimentos en el largo plazo.",El drenaje de humedales y la cosecha de turba generan cambio en el uso del suelo y exponen la capa superior del suelo lo que lleva a la pérdida de carbono orgánico en el suelo.,"El drenaje de humedales aumenta la aireación del suelo. Por lo tanto, los índices de respiración de microorganismos del suelo aumentan. Los humedales ya no acumulan carbono orgánico en el suelo pero se convierten en fuentes de CO2.",Acción humana,Corto plazo,Global
Regulación climática,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de  crecimiento, y aumentar el cambio de los eventos de extinción locales.",Altera el suministro y recursos de agua dulce.,"Dinámicas de hábitats modificadas, reducción de la estabilidad de hábitats de carbono azul.",Acción humana,Corto plazo,Ecosistemas costeros
Regulación climática,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de  crecimiento, y aumentar el cambio de los eventos de extinción locales.",Los bosques convertidos en tierra cultivada causan la remoción de biomasa aérea.,Aumento de las emisiones de carbono.,Acción humana,Corto plazo,Bosques tropicales 
Regulación climática,Agua ,Modificación del hábitat ,R,La modificación de hábitats cambia el uso y la distribución del agua. Las presiones crecientes del desarrollo económico verán más cambios en los hábitats en el largo plazo.,Altera el suministro y los recursos de agua dulce.,"Dinámicas de hábitats modificadas, reducción de la estabilidad de hábitats de carbono azul.",Acción humana,Corto plazo,Ecosistemas costeros
Regulación climática,Agua,Modificación del hábitat ,R,La modificación de hábitats cambia el uso y la distribución del agua. Las presiones crecientes del desarrollo económico verán más cambios en los hábitats en el largo plazo.,La conversión de humedales para fines comerciales y la extracción de recursos producen la pérdida de la función reguladora climática regional.,La conversión de humedales hace que la temperatura promedio aumente en 0.77°C en las cuatro estaciones.,Acción humana,Mediano plazo ,Global
Regulación climática,Hábitats,Actividades industriales o domésticas ,A,"Al igual que con los impactos de construcción, se anticipa que la cantidad y calidad de hábitats disminuirán en el largo plazo, como resultado de las presiones del desarrollo económico. Los mecanismos mediante los cuales las actividades industriales o domésticas impulsan el cambio en los hábitats son, con frecuencia, complejos y existe cierta incertidumbre. Algunos hábitats son más resilientes a impactos que otros, por lo tanto, hay una variabilidad en las respuestas.",El cambio en el uso del suelo altera el suministro de sedimentos lo que produce un cambio de estado en el activo,Se reduce el enterramiento de carbono en sedimentos marinos; aumentan las emisiones de carbono ,Acción humana,Corto plazo,Ecosistemas costeros
Regulación climática,Hábitats,Actividades industriales o domésticas,A,"Al igual que con los impactos de construcción, se anticipa que la cantidad y calidad de hábitats disminuirán en el largo plazo, como resultado de las presiones del desarrollo económico. Los mecanismos mediante los cuales las actividades industriales o domésticas impulsan el cambio en los hábitats son, con frecuencia, complejos y existe cierta incertidumbre. Algunos hábitats son más resilientes a impactos que otros, por lo tanto, hay una variabilidad en las respuestas.",Las actividades industriales y la construcción generan cambio en el uso del suelo y exponen la capa superior del suelo lo que lleva a la pérdida de carbono orgánico en el suelo.,"El drenaje de suelos aumenta la aireación. Por lo tanto, los índices de respiración de microorganismos del suelo aumentan. El suelo ya no acumula carbono orgánico en el suelo pero se convierte en fuente de CO2.",Acción humana,Corto plazo,Global
Regulación climática,Suelos y sedimentos,Actividades industriales o domésticas,A,"Las actividades industriales y la urbanización son fuentes clave de la contaminación de suelos local. Las actividades intensivas, tales como la disposición inadecuada de residuos, y los accidentes industriales pueden causar la contaminación excesiva de los suelos. La urbanización y la industrialización también aumentan la deposición ácida en los suelos, cambios en los nutrientes del suelo y agua del suelo.",El cambio en el uso del suelo altera el suministro de sedimentos lo que produce un cambio de estado en el activo,Se reduce el enterramiento de carbono en sedimentos marinos; aumentan las emisiones de carbono,Acción humana,Corto plazo,Ecosistemas costeros
Regulación climática,Suelos y sedimentos,Actividades industriales o domésticas ,A,"Las actividades industriales y la urbanización son fuentes clave de la contaminación de suelos local. Las actividades intensivas, tales como la disposición inadecuada de residuos, y los accidentes industriales pueden causar la contaminación excesiva de los suelos. La urbanización y la industrialización también aumentan la deposición ácida en los suelos, cambios en los nutrientes del suelo y agua del suelo.",Las actividades industriales y la construcción generan cambio en el uso del suelo y expone la capa superior del suelo que lleva a la pérdida de carbono orgánico en el suelo.,"El drenaje de suelos aumenta la aireación. Por lo tanto, los índices de respiración de microorganismos del suelo aumentan. El suelo ya no acumula carbono orgánico en el suelo pero se convierte en fuente de CO2.",Acción humana,Corto plazo,Global
Regulación climática,Agua ,Actividades industriales o domésticas,R,"La demanda de agua para actividades industriales o domésticas aumentará como resultado de las constantes presiones de desarrollo (salvo que los activos hídricos sean gestionados correctamente), lo que reducirá la cantidad de agua disponible para suministrar o apoyar otros servicios ecosistémicos. Se espera también que las actividades industriales o domésticas aumentarán con el tiempo como respuesta al desarrollo económico y al crecimiento poblacional ? estas actividades seguirán teniendo un impacto en el agua.",Altera el suministro y recursos de agua dulce.,"Dinámicas de hábitats modificadas, reducción de la estabilidad de hábitats de carbono azul.",Acción humana,Corto plazo,Ecosistemas costeros
