iso_3,agriculture_type,area_turnover_ratio
BDI,Livestock,0.001526866
CMR,Livestock,0.001646615
CAN,Livestock,0.000646037
CPV,Livestock,0.000365886
LKA,Livestock,0.000725611
TCD,Livestock,0.014001506
CHL,Livestock,0.002737418
CHN,Livestock,0.001048644
COL,Livestock,0.003952378
COG,Livestock,0.015378951
COK,Livestock,0
CRI,Livestock,0.001010691
CYP,Livestock,4.17965E-06
AZE,Livestock,0.001084544
BEN,Livestock,0.021019355
DNK,Livestock,6.8526E-05
DOM,Livestock,0.000904
BLR,Livestock,0.000553938
ECU,Livestock,0.000698479
EGY,Livestock,6.4287E-08
SLV,Livestock,0.000820719
GNQ,Livestock,0.009887016
EST,Livestock,0.00073149
FJI,Livestock,0.001486629
FIN,Livestock,0.000299428
FRA,Livestock,3.68448E-07
GEO,Livestock,0.003295939
GMB,Livestock,0.001272795
DEU,Livestock,0.000230061
BIH,Livestock,0.003035985
GHA,Livestock,0.021169898
GRC,Livestock,0.001304564
GRD,Livestock,0.000137741
GIN,Livestock,0.031921888
GUY,Livestock,0.021800635
HND,Livestock,0.001657067
HUN,Livestock,0.000325699
HRV,Livestock,0.00071362
ISL,Livestock,0.006773895
IND,Livestock,0.000182277
IDN,Livestock,0.000696274
IRN,Livestock,0.001264586
IRQ,Livestock,0.014675441
IRL,Livestock,0.000437493
ISR,Livestock,3.31492E-05
ITA,Livestock,0.000216584
CIV,Livestock,0.016573997
KAZ,Livestock,0.026335707
JAM,Livestock,0.002161956
JPN,Livestock,0
JOR,Livestock,0.000514167
KGZ,Livestock,0.003996547
KEN,Livestock,0.003254779
KHM,Livestock,0.001418346
KOR,Livestock,3.309E-06
KWT,Livestock,0.00407034
LVA,Livestock,0.001343271
LAO,Livestock,0.000930059
LBN,Livestock,0.000612222
LTU,Livestock,0.001365171
MDG,Livestock,0.017598154
MWI,Livestock,0.001363705
MYS,Livestock,5.98501E-05
MLI,Livestock,0.010272241
MLT,Livestock,0
MUS,Livestock,6.63868E-05
MEX,Livestock,0.002906814
MNG,Livestock,0.064492049
MAR,Livestock,0.00282593
MOZ,Livestock,0.047523031
MDA,Livestock,0.000641689
NAM,Livestock,0.173499877
NPL,Livestock,0.000932964
NLD,Livestock,8.75837E-05
MKD,Livestock,0.003158933
NZL,Livestock,0.000655049
NIC,Livestock,0.002978553
NER,Livestock,0.022733403
NGA,Livestock,0.005690989
NOR,Livestock,0.000196351
PAK,Livestock,0.000216233
PAN,Livestock,0.000813192
CZE,Livestock,0.000372408
PRY,Livestock,0.005317261
PER,Livestock,0.003091446
PHL,Livestock,0.000131687
POL,Livestock,0.000217496
PRT,Livestock,0.000640831
GNB,Livestock,0.006629073
TLS,Livestock,0.00100129
ERI,Livestock,0.002022772
QAT,Livestock,0.000322395
ZWE,Livestock,0.06252746
ROU,Livestock,0.001007272
RWA,Livestock,0.000305317
RUS,Livestock,0.002107592
LCA,Livestock,3.48166E-05
VCT,Livestock,0.000137268
SAU,Livestock,0.030798752
SEN,Livestock,0.062785904
SVN,Livestock,0.000605
SVK,Livestock,0.001366744
SGP,Livestock,0
ZAF,Livestock,0.007337705
ESP,Livestock,0.000709867
SUR,Livestock,0.000273419
TJK,Livestock,0.004582856
SWE,Livestock,0.000161341
CHE,Livestock,0.00018112
TKM,Livestock,0.015329378
TZA,Livestock,0.066623867
THA,Livestock,0.000102486
TGO,Livestock,0.001994827
TTO,Livestock,3.30576E-05
TUN,Livestock,0.001943107
TUR,Livestock,0.000417521
GBR,Livestock,0.000511012
UKR,Livestock,0.000920515
USA,Livestock,0.001220167
BFA,Livestock,0.008099622
URY,Livestock,0.0029179
VEN,Livestock,0.00100831
VNM,Livestock,4.46987E-05
ETH,Livestock,0.003599633
YEM,Livestock,0.004542781
ZMB,Livestock,0.010038049
BEL,Livestock,8.49186E-05
LUX,Livestock,0.000294591
SRB,Livestock,0.000369919
