iso_3,agriculture_type,representative_ecoregion_id,representative_ecoregion_eco_risk,representative_ecoregion_category,representative_ecoregion_name,max_ecoregion_id,max_ecoregion_eco_risk,max_ecoregion_category,max_ecoregion_name,min_ecoregion_id,min_ecoregion_eco_risk,min_ecoregion_category,min_ecoregion_name
COD,Crops,24,1.480081088,E,Northeast Congolian lowland forests,86,2.37105468,D,Rwenzori-Virunga montane moorlands,26,1.256948142,E,Northwest Congolian lowland forests
COG,Crops,63,1.644203105,E,Western Congolian forest-savanna,63,1.644203105,E,Western Congolian forest-savanna,26,1.256948142,E,Northwest Congolian lowland forests
COL,Crops,478,2.04266949,C,Magdalena-Urabá moist forests,594,2.3060778,D,Santa Marta páramo,473,1.09838068,D,Japurá-Solimões-Negro moist forests
COM,Crops,4,2.285964817,C,Comoros forests,4,2.285964817,C,Comoros forests,4,2.285964817,C,Comoros forests
CPV,Crops,31,2.219122112,E,Cape Verde Islands dry forests,31,2.219122112,E,Cape Verde Islands dry forests,31,2.219122112,E,Cape Verde Islands dry forests
CRI,Crops,470,1.871686634,D,Isthmian-Atlantic moist forests,617,2.18454091,B,Southern Mesoamerican Pacific mangroves,470,1.871686634,D,Isthmian-Atlantic moist forests
CUB,Crops,530,2.052749867,C,Cuban dry forests,600,2.257218084,C,Cuban cactus scrub,612,1.83284331,A,Bahamian-Antillean mangroves
CYP,Crops,790,2.134553346,C,Cyprus Mediterranean forests,790,2.134553346,C,Cyprus Mediterranean forests,790,2.134553346,C,Cyprus Mediterranean forests
CZE,Crops,686,1.905426399,B,Western European broadleaf forests,692,1.984052256,C,Carpathian montane forests,654,1.898178817,C,Central European mixed forests
DEU,Crops,686,1.905426399,B,Western European broadleaf forests,647,2.02796664,C,Baltic mixed forests,654,1.898178817,C,Central European mixed forests
DNK,Crops,647,2.02796664,C,Baltic mixed forests,647,2.02796664,C,Baltic mixed forests,778,1.107873291,A,Russian Arctic desert
DOM,Crops,468,2.08501677,C,Hispaniolan moist forests,580,2.358501806,B,Enriquillo wetlands,612,1.83284331,A,Bahamian-Antillean mangroves
DZA,Crops,798,1.935275666,E,Mediterranean woodlands and forests,701,2.128446664,C,Mediterranean conifer and mixed forests,842,0.945966653,E,South Sahara desert
ECU,Crops,516,2.013922418,E,Western Ecuador moist forests,582,2.261042723,C,Guayaquil flooded grasslands,483,1.228778309,D,Napo moist forests
EGY,Crops,744,1.943323001,C,Nile Delta flooded savanna,744,1.943323001,C,Nile Delta flooded savanna,842,0.945966653,E,South Sahara desert
ERI,Crops,53,1.363278794,E,Sahelian Acacia savanna,79,1.974766208,E,Ethiopian montane grasslands and woodlands,53,1.363278794,E,Sahelian Acacia savanna
ESH,Crops,839,1.3384325,E,Saharan Atlantic coastal desert,796,1.917728007,E,Mediterranean Acacia-Argania dry woodlands and succulent thickets,842,0.945966653,E,South Sahara desert
ESP,Crops,793,1.811747882,E,Iberian sclerophyllous and semi-deciduous forests,803,2.265679802,D,Southeast Iberian shrubs and woodlands,792,1.78756179,B,Iberian conifer forests
EST,Crops,679,1.709193105,C,Sarmatic mixed forests,679,1.709193105,C,Sarmatic mixed forests,679,1.709193105,C,Sarmatic mixed forests
ETH,Crops,79,1.974766208,E,Ethiopian montane grasslands and woodlands,80,2.153084341,D,Ethiopian montane moorlands,50,1.36031442,E,Masai xeric grasslands and shrublands
FIN,Crops,717,1.226023162,A,Scandinavian and Russian taiga,679,1.709193105,C,Sarmatic mixed forests,717,1.226023162,A,Scandinavian and Russian taiga
FJI,Crops,635,2.206679135,E,Fiji tropical dry forests,635,2.206679135,E,Fiji tropical dry forests,622,2.163068496,E,Fiji tropical moist forests
FRA,Crops,664,1.940130847,C,European Atlantic mixed forests,795,2.03381531,C,Italian sclerophyllous and semi-deciduous forests,676,1.832737235,D,Pyrenees conifer and mixed forests
GAB,Crops,5,1.526491295,E,Congolian coastal forests,111,2.017820622,C,Central African mangroves,26,1.256948142,E,Northwest Congolian lowland forests
GBR,Crops,651,1.979454962,C,Celtic broadleaf forests,663,2.085813648,C,English Lowlands beech forests,691,1.745140869,A,Caledon conifer forests
GEO,Crops,650,1.973422757,E,Caucasus mixed forests,812,2.053913783,C,Azerbaijan shrub desert and steppe,650,1.973422757,E,Caucasus mixed forests
GHA,Crops,11,1.99418614,C,Eastern Guinean forests,113,2.130765346,E,Guinean mangroves,62,1.793007042,E,West Sudanian savanna
GIN,Crops,44,1.859036376,E,Guinean forest-savanna,113,2.130765346,E,Guinean mangroves,62,1.793007042,E,West Sudanian savanna
GLP,Crops,599,2.267564441,C,Caribbean shrublands,475,2.334240203,B,Leeward Islands moist forests,612,1.83284331,A,Bahamian-Antillean mangroves
GMB,Crops,62,1.793007042,E,West Sudanian savanna,113,2.130765346,E,Guinean mangroves,62,1.793007042,E,West Sudanian savanna
GNB,Crops,44,1.859036376,E,Guinean forest-savanna,113,2.130765346,E,Guinean mangroves,44,1.859036376,E,Guinean forest-savanna
GNQ,Crops,5,1.526491295,E,Congolian coastal forests,27,2.330194298,D,São Tomé and Príncipe and Annobón forests,5,1.526491295,E,Congolian coastal forests
GRC,Crops,785,2.001524193,C,Aegean and Western Turkey sclerophyllous and mixed forests,789,2.170892285,B,Crete Mediterranean forests,646,1.964848998,C,Balkan mixed forests
GTM,Crops,494,1.748309807,C,Petén-Veracruz moist forests,605,2.274773252,C,Motagua Valley thornscrub,519,1.535898063,C,Yucatán moist forests
GUF,Crops,465,1.097873038,D,Guianan lowland moist forests,611,1.824469411,D,Amazon-Orinoco-Southern Caribbean mangroves,465,1.097873038,D,Guianan lowland moist forests
GUY,Crops,465,1.097873038,D,Guianan lowland moist forests,611,1.824469411,D,Amazon-Orinoco-Southern Caribbean mangroves,511,1.080708719,D,Uatumã-Trombetas moist forests
HKG,Crops,268,1.983717968,C,South China-Vietnam subtropical evergreen forests,268,1.983717968,C,South China-Vietnam subtropical evergreen forests,268,1.983717968,C,South China-Vietnam subtropical evergreen forests
HND,Crops,553,1.964849025,C,Central American pine-oak forests,617,2.18454091,B,Southern Mesoamerican Pacific mangroves,573,1.667109108,E,Miskito pine forests
HRV,Crops,674,1.953654725,C,Pannonian mixed forests,794,2.076022346,C,Illyrian deciduous forests,674,1.953654725,C,Pannonian mixed forests
HTI,Crops,468,2.08501677,C,Hispaniolan moist forests,580,2.358501806,B,Enriquillo wetlands,612,1.83284331,A,Bahamian-Antillean mangroves
HUN,Crops,674,1.953654725,C,Pannonian mixed forests,674,1.953654725,C,Pannonian mixed forests,674,1.953654725,C,Pannonian mixed forests
IDN,Crops,278,1.893068331,E,Sumatran lowland rain forests,165,2.168382423,E,Sumba deciduous forests,220,1.278509396,E,Borneo montane rain forests
IMN,Crops,651,1.979454962,C,Celtic broadleaf forests,651,1.979454962,C,Celtic broadleaf forests,651,1.979454962,C,Celtic broadleaf forests
IND,Crops,315,1.956619743,C,Deccan thorn scrub forests,243,2.410808651,E,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,702,1.46280244,E,Northeast Himalayan subalpine conifer forests
IRL,Crops,651,1.979454962,C,Celtic broadleaf forests,651,1.979454962,C,Celtic broadleaf forests,672,1.955225468,B,North Atlantic moist mixed forests
IRN,Crops,688,1.93728617,E,Zagros Mountains forest steppe,747,2.091535936,E,Tigris-Euphrates alluvial salt marsh,838,1.438376144,E,Registan-North Pakistan sandy desert
IRQ,Crops,688,1.93728617,E,Zagros Mountains forest steppe,747,2.091535936,E,Tigris-Euphrates alluvial salt marsh,831,1.332916794,E,North Arabian desert
ISR,Crops,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests,804,2.051678689,C,Southern Anatolian montane conifer and deciduous forests,833,1.173375941,E,North Saharan Xeric Steppe and Woodland
ITA,Crops,795,2.03381531,C,Italian sclerophyllous and semi-deciduous forests,802,2.164396982,B,South Apennine mixed montane forests,689,1.963627793,E,Alps conifer and mixed forests
JAM,Crops,472,2.19437257,C,Jamaican moist forests,535,2.276809205,C,Jamaican dry forests,612,1.83284331,A,Bahamian-Antillean mangroves
JOR,Crops,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests,831,1.332916794,E,North Arabian desert
JPN,Crops,682,2.005919681,C,Taiheiyo evergreen forests,251,2.228756399,C,Nansei Islands subtropical evergreen forests,698,1.877595423,C,Hokkaido montane conifer forests
KAZ,Crops,732,1.77499813,E,Kazakh steppe,721,1.991867188,C,Alai-Western Tian Shan steppe,827,1.450232782,E,Junggar Basin semi-desert
KEN,Crops,51,1.627778614,E,Northern Acacia-Commiphora bushlands and thickets,112,2.243431943,D,East African mangroves,50,1.36031442,E,Masai xeric grasslands and shrublands
KGZ,Crops,740,1.910097584,C,Tian Shan foothill arid steppe,721,1.991867188,C,Alai-Western Tian Shan steppe,762,1.393885922,E,Pamir alpine desert and tundra
KHM,Crops,291,1.897369556,E,Central Indochina dry forests,319,2.124846554,C,Indochina mangroves,223,1.799522791,B,Cardamom Mountains rain forests
KOR,Crops,655,2.032149374,C,Central Korean deciduous forests,681,2.159744202,C,Southern Korea evergreen forests,669,1.715020503,C,Manchurian mixed forests
KWT,Crops,811,1.591450514,E,Arabian-Persian Gulf coastal plain desert,811,1.591450514,E,Arabian-Persian Gulf coastal plain desert,809,1.440980568,E,Arabian desert
LAO,Crops,291,1.897369556,E,Central Indochina dry forests,257,2.148498237,E,Northern Khorat Plateau moist deciduous forests,255,1.758660986,D,Northern Annamites rain forests
LBN,Crops,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests,804,2.051678689,C,Southern Anatolian montane conifer and deciduous forests,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests
LBR,Crops,30,1.80897326,E,Western Guinean lowland forests,113,2.130765346,E,Guinean mangroves,30,1.80897326,E,Western Guinean lowland forests
LBY,Crops,797,1.822095634,E,Mediterranean dry woodlands and steppe,798,1.935275666,E,Mediterranean woodlands and forests,842,0.945966653,E,South Sahara desert
LKA,Crops,301,2.08170927,B,Sri Lanka dry-zone dry evergreen forests,275,2.257176385,C,Sri Lanka montane rain forests,315,1.956619743,C,Deccan thorn scrub forests
LSO,Crops,81,1.93310348,C,Highveld grasslands,41,1.98067398,C,Drakensberg grasslands,81,1.93310348,C,Highveld grasslands
LTU,Crops,679,1.709193105,C,Sarmatic mixed forests,654,1.898178817,C,Central European mixed forests,679,1.709193105,C,Sarmatic mixed forests
LUX,Crops,686,1.905426399,B,Western European broadleaf forests,686,1.905426399,B,Western European broadleaf forests,686,1.905426399,B,Western European broadleaf forests
LVA,Crops,679,1.709193105,C,Sarmatic mixed forests,679,1.709193105,C,Sarmatic mixed forests,679,1.709193105,C,Sarmatic mixed forests
MAR,Crops,798,1.935275666,E,Mediterranean woodlands and forests,758,2.210870902,C,Mediterranean High Atlas juniper steppe,833,1.173375941,E,North Saharan Xeric Steppe and Woodland
MDA,Crops,654,1.898178817,C,Central European mixed forests,654,1.898178817,C,Central European mixed forests,735,1.833659488,E,Pontic steppe
MDG,Crops,17,1.95550721,E,Madagascar humid forests,99,2.034533129,C,Madagascar spiny thickets,32,1.837368223,E,Madagascar dry deciduous forests
MEX,Crops,514,1.977304033,C,Veracruz moist forests,556,2.270988842,D,Sierra de la Laguna pine-oak forests,426,1.385773266,D,Baja California desert
MKD,Crops,646,1.964848998,C,Balkan mixed forests,678,2.062922544,B,Rodope montane mixed forests,646,1.964848998,C,Balkan mixed forests
MLI,Crops,62,1.793007042,E,West Sudanian savanna,71,1.976290979,D,Inner Niger Delta flooded savanna,842,0.945966653,E,South Sahara desert
MLT,Crops,806,2.030520553,C,Tyrrhenian-Adriatic sclerophyllous and mixed forests,806,2.030520553,C,Tyrrhenian-Adriatic sclerophyllous and mixed forests,806,2.030520553,C,Tyrrhenian-Adriatic sclerophyllous and mixed forests
MMR,Crops,235,1.968943808,E,Irrawaddy moist deciduous forests,218,2.228319275,A,Andaman Islands rain forests,307,1.484251007,D,Northern Triangle temperate forests
MNE,Crops,660,2.014978861,C,Dinaric Mountains mixed forests,794,2.076022346,C,Illyrian deciduous forests,646,1.964848998,C,Balkan mixed forests
MNG,Crops,737,1.684712367,E,Selenge-Orkhon forest steppe,700,1.891689418,D,Khangai Mountains conifer forests,707,1.18783623,A,Sayan montane conifer forests
MNP,Crops,637,2.317230401,E,Marianas tropical dry forests,637,2.317230401,E,Marianas tropical dry forests,637,2.317230401,E,Marianas tropical dry forests
MOZ,Crops,42,1.633458381,C,Dry miombo woodlands,116,2.332252681,C,Southern Africa mangroves,76,1.548573597,D,Zambezian flooded grasslands
MRT,Crops,53,1.363278794,E,Sahelian Acacia savanna,62,1.793007042,E,West Sudanian savanna,842,0.945966653,E,South Sahara desert
MTQ,Crops,517,2.28447786,B,Windward Islands moist forests,537,2.367913209,B,Lesser Antillean dry forests,612,1.83284331,A,Bahamian-Antillean mangroves
MUS,Crops,20,2.235531712,B,Mascarene forests,20,2.235531712,B,Mascarene forests,20,2.235531712,B,Mascarene forests
MWI,Crops,42,1.633458381,C,Dry miombo woodlands,84,2.296726799,B,Mulanje Montane forest-grassland,76,1.548573597,D,Zambezian flooded grasslands
MYS,Crops,265,1.885447597,C,Peninsular Malaysian rain forests,313,2.226264889,B,Kinabalu montane alpine meadows,220,1.278509396,E,Borneo montane rain forests
NAM,Crops,64,1.376885937,E,Zambezian Baikiaea woodlands,65,1.632907396,B,Zambezian mopane woodlands,47,1.184513154,A,Kalahari Acacia woodlands
NCL,Crops,146,1.764121916,B,New Caledonia rain forests,164,2.148154636,D,New Caledonia dry forests,146,1.764121916,B,New Caledonia rain forests
NER,Crops,62,1.793007042,E,West Sudanian savanna,72,2.098322408,D,Lake Chad flooded savanna,842,0.945966653,E,South Sahara desert
NGA,Crops,62,1.793007042,E,West Sudanian savanna,49,2.200191599,E,Mandara Plateau woodlands,53,1.363278794,E,Sahelian Acacia savanna
NIC,Crops,450,1.744812677,D,Central American Atlantic moist forests,449,2.230675808,B,Cayos Miskitos-San Andrés and Providencia moist forests,573,1.667109108,E,Miskito pine forests
NLD,Crops,664,1.940130847,C,European Atlantic mixed forests,664,1.940130847,C,European Atlantic mixed forests,686,1.905426399,B,Western European broadleaf forests
NOR,Crops,717,1.226023162,A,Scandinavian and Russian taiga,708,1.976136438,C,Scandinavian coastal conifer forests,717,1.226023162,A,Scandinavian and Russian taiga
NPL,Crops,311,2.102459883,C,Terai-Duar savanna and grasslands,311,2.102459883,C,Terai-Duar savanna and grasslands,769,1.517194903,E,Western Himalayan alpine shrub and meadows
NZL,Crops,190,1.903608342,E,Canterbury-Otago tussock grasslands,173,1.997062466,E,Northland temperate kauri forests,169,1.393810944,D,Fiordland temperate forests
OMN,Crops,811,1.591450514,E,Arabian-Persian Gulf coastal plain desert,320,2.227227323,B,Indus River Delta-Arabian Sea mangroves,810,1.135272154,E,Arabian sand desert
PAK,Crops,314,1.93333042,C,Aravalli west thorn scrub forests,320,2.227227323,B,Indus River Delta-Arabian Sea mangroves,838,1.438376144,E,Registan-North Pakistan sandy desert
PAN,Crops,471,2.050955996,C,Isthmian-Pacific moist forests,541,2.207300036,C,Panamanian dry forests,454,1.569006338,E,Chocó-Darién moist forests
PER,Crops,493,1.643839482,E,Peruvian Yungas,479,2.020693906,E,Marañón dry forests,503,1.11973863,E,Solimões-Japurá moist forests
PHL,Crops,247,2.023559168,E,Mindanao-Eastern Visayas rain forests,243,2.410808651,E,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,219,1.519001562,E,Borneo lowland rain forests
PLW,Crops,627,2.373793329,B,Palau tropical moist forests,627,2.373793329,B,Palau tropical moist forests,627,2.373793329,B,Palau tropical moist forests
PNG,Crops,148,1.457522888,E,Northern New Guinea lowland rain and freshwater swamp forests,135,2.243427224,E,Admiralty Islands lowland rain forests,154,1.378112125,E,Southern New Guinea freshwater swamp forests
POL,Crops,654,1.898178817,C,Central European mixed forests,647,2.02796664,C,Baltic mixed forests,654,1.898178817,C,Central European mixed forests
PRI,Crops,495,2.200783903,C,Puerto Rican moist forests,543,2.319343201,C,Puerto Rican dry forests,612,1.83284331,A,Bahamian-Antillean mangroves
PRK,Crops,669,1.715020503,C,Manchurian mixed forests,655,2.032149374,C,Central Korean deciduous forests,669,1.715020503,C,Manchurian mixed forests
PRT,Crops,805,1.975906532,E,Southwest Iberian Mediterranean sclerophyllous and mixed forests,668,2.348621899,B,Madeira evergreen forests,793,1.811747882,E,Iberian sclerophyllous and semi-deciduous forests
PRY,Crops,439,1.915864715,E,Alto Paraná Atlantic forests,586,2.001473605,E,Southern Cone Mesopotamian savanna,569,1.344663446,E,Dry Chaco
PSE,Crops,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests,809,1.440980568,E,Arabian desert
PYF,Crops,630,2.30785593,C,Society Islands tropical moist forests,633,2.453508672,C,Tubuai tropical moist forests,625,1.477149454,E,Marquesas tropical moist forests
QAT,Crops,811,1.591450514,E,Arabian-Persian Gulf coastal plain desert,320,2.227227323,B,Indus River Delta-Arabian Sea mangroves,811,1.591450514,E,Arabian-Persian Gulf coastal plain desert
REU,Crops,20,2.235531712,B,Mascarene forests,20,2.235531712,B,Mascarene forests,20,2.235531712,B,Mascarene forests
ROU,Crops,674,1.953654725,C,Pannonian mixed forests,692,1.984052256,C,Carpathian montane forests,735,1.833659488,E,Pontic steppe
RUS,Crops,735,1.833659488,E,Pontic steppe,658,2.111403539,C,Crimean Submediterranean forest complex,710,0.954,A,East Siberian taiga
RWA,Crops,1,1.945361429,C,Albertine Rift montane forests,86,2.37105468,D,Rwenzori-Virunga montane moorlands,1,1.945361429,C,Albertine Rift montane forests
SAU,Crops,809,1.440980568,E,Arabian desert,320,2.227227323,B,Indus River Delta-Arabian Sea mangroves,810,1.135272154,E,Arabian sand desert
SDN,Crops,53,1.363278794,E,Sahelian Acacia savanna,79,1.974766208,E,Ethiopian montane grasslands and woodlands,842,0.945966653,E,South Sahara desert
SEN,Crops,62,1.793007042,E,West Sudanian savanna,113,2.130765346,E,Guinean mangroves,53,1.363278794,E,Sahelian Acacia savanna
SGP,Crops,265,1.885447597,C,Peninsular Malaysian rain forests,265,1.885447597,C,Peninsular Malaysian rain forests,265,1.885447597,C,Peninsular Malaysian rain forests
SLB,Crops,152,1.899452781,E,Solomon Islands rain forests,159,1.979498155,E,Vanuatu rain forests,152,1.899452781,E,Solomon Islands rain forests
SLE,Crops,30,1.80897326,E,Western Guinean lowland forests,113,2.130765346,E,Guinean mangroves,30,1.80897326,E,Western Guinean lowland forests
SLV,Crops,527,2.032822967,C,Central American dry forests,617,2.18454091,B,Southern Mesoamerican Pacific mangroves,553,1.964849025,C,Central American pine-oak forests
SOM,Crops,25,1.921764592,E,Northern Swahili coastal forests,112,2.243431943,D,East African mangroves,106,1.613779113,C,Somali montane xeric woodlands
SRB,Crops,646,1.964848998,C,Balkan mixed forests,678,2.062922544,B,Rodope montane mixed forests,674,1.953654725,C,Pannonian mixed forests
SSD,Crops,43,1.559897444,E,East Sudanian savanna,8,1.993391113,E,East African montane forests,50,1.36031442,E,Masai xeric grasslands and shrublands
STP,Crops,27,2.330194298,D,São Tomé and Príncipe and Annobón forests,27,2.330194298,D,São Tomé and Príncipe and Annobón forests,27,2.330194298,D,São Tomé and Príncipe and Annobón forests
SUR,Crops,463,1.533317525,A,Guianan freshwater swamp forests,611,1.824469411,D,Amazon-Orinoco-Southern Caribbean mangroves,511,1.080708719,D,Uatumã-Trombetas moist forests
SVK,Crops,674,1.953654725,C,Pannonian mixed forests,692,1.984052256,C,Carpathian montane forests,674,1.953654725,C,Pannonian mixed forests
SVN,Crops,674,1.953654725,C,Pannonian mixed forests,675,2.08969449,C,Po Basin mixed forests,674,1.953654725,C,Pannonian mixed forests
SWE,Crops,679,1.709193105,C,Sarmatic mixed forests,647,2.02796664,C,Baltic mixed forests,717,1.226023162,A,Scandinavian and Russian taiga
SWZ,Crops,48,1.912140158,B,Limpopo lowveld,19,2.084505836,C,Maputaland coastal forests and woodlands,48,1.912140158,B,Limpopo lowveld
SYR,Crops,791,1.993947574,E,Eastern Mediterranean conifer-broadleaf forests,804,2.051678689,C,Southern Anatolian montane conifer and deciduous forests,830,1.745780437,E,Mesopotamian shrub desert
TCD,Crops,53,1.363278794,E,Sahelian Acacia savanna,72,2.098322408,D,Lake Chad flooded savanna,842,0.945966653,E,South Sahara desert
TGO,Crops,62,1.793007042,E,West Sudanian savanna,11,1.99418614,C,Eastern Guinean forests,62,1.793007042,E,West Sudanian savanna
THA,Crops,291,1.897369556,E,Central Indochina dry forests,257,2.148498237,E,Northern Khorat Plateau moist deciduous forests,263,1.688355548,A,Peninsular Malaysian montane rain forests
TJK,Crops,730,1.965254296,C,Gissaro-Alai open woodlands,834,2.012390171,E,Paropamisus xeric woodlands,762,1.393885922,E,Pamir alpine desert and tundra
TKM,Crops,819,1.608556348,E,Central Asian southern desert,813,2.006951319,E,Badghyz and Karabil semi-desert,817,1.481520947,C,Central Asian northern desert
TLS,Crops,166,2.069156031,E,Timor and Wetar deciduous forests,166,2.069156031,E,Timor and Wetar deciduous forests,166,2.069156031,E,Timor and Wetar deciduous forests
TON,Crops,631,2.214093165,C,Tongan tropical moist forests,631,2.214093165,C,Tongan tropical moist forests,631,2.214093165,C,Tongan tropical moist forests
TTO,Crops,510,2.205585236,D,Trinidad and Tobago moist forest,548,2.419971112,C,Trinidad and Tobago dry forest,611,1.824469411,D,Amazon-Orinoco-Southern Caribbean mangroves
TUN,Crops,798,1.935275666,E,Mediterranean woodlands and forests,701,2.128446664,C,Mediterranean conifer and mixed forests,845,1.096271596,E,West Sahara desert
TUR,Crops,652,2.033537034,E,Central Anatolian steppe and woodlands,665,2.053874585,C,Euxine-Colchic broadleaf forests,688,1.93728617,E,Zagros Mountains forest steppe
TWN,Crops,283,2.104961281,C,Taiwan subtropical evergreen forests,269,2.269430564,C,South Taiwan monsoon rain forests,283,2.104961281,C,Taiwan subtropical evergreen forests
TZA,Crops,57,1.908189376,C,Southern Acacia-Commiphora bushlands and thickets,54,2.46165728,D,Serengeti volcanic grasslands,76,1.548573597,D,Zambezian flooded grasslands
UGA,Crops,61,1.984126062,C,Victoria Basin forest-savanna,86,2.37105468,D,Rwenzori-Virunga montane moorlands,52,1.459858491,E,Northern Congolian Forest-Savanna
UKR,Crops,735,1.833659488,E,Pontic steppe,658,2.111403539,C,Crimean Submediterranean forest complex,735,1.833659488,E,Pontic steppe
URY,Crops,574,1.87318535,E,Uruguayan savanna,441,2.091528583,E,Atlantic Coast restingas,575,1.640660391,C,Espinal
